Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
stage_out_local_local_2,1,2281.000.000,192.168.5.10,1645620115,1645620115,1645620120,1645620120,1645620120,1645620120,1645620125,0,5,5
individuals,ID0000028,2257.000.000,192.168.5.104,1645612742,1645613644,1645614533,1645614538,1645614538,1645614538,1645614543,902,894,5
individuals,ID0000038,2216.000.000,192.168.5.102,1645612700,1645612713,1645613537,1645613538,1645613538,1645613538,1645613543,13,825,5
individuals,ID0000040,2240.000.000,192.168.5.101,1645612726,1645613474,1645614172,1645614173,1645614173,1645614174,1645614178,748,699,5
individuals,ID0000011,2248.000.000,192.168.5.104,1645612731,1645613568,1645614452,1645614453,1645614453,1645614454,1645614458,837,885,5
stage_in_local_local_2,0,2209.000.000,192.168.5.10,1645612680,1645612682,1645612686,1645612690,1645612690,1645612690,1645612695,2,8,5
frequency,ID0000056,2278.000.000,192.168.5.101,1645619209,1645619222,1645620086,1645620090,1645620090,1645620091,1645620095,13,868,5
individuals,ID0000041,2241.000.000,192.168.5.101,1645612726,1645613482,1645614185,1645614188,1645614188,1645614188,1645614193,756,706,5
stage_in_remote_local_2,1,2213.000.000,192.168.5.10,1645612685,1645612686,1645612689,1645612690,1645612690,1645612690,1645612695,1,4,5
individuals,ID0000047,2237.000.000,192.168.5.106,1645612721,1645612759,1645613681,1645613683,1645613683,1645613683,1645613688,38,924,5
stage_in_remote_local_0,1,2210.000.000,192.168.5.10,1645612685,1645612686,1645612689,1645612690,1645612690,1645612691,1645612695,1,4,5
individuals,ID0000024,2261.000.000,192.168.5.106,1645612747,1645613702,1645614652,1645614653,1645614653,1645614653,1645614658,955,951,5
individuals,ID0000002,2234.000.000,192.168.5.103,1645612716,1645612745,1645613586,1645613588,1645613588,1645613588,1645613593,29,843,5
frequency,ID0000060,2267.000.000,192.168.5.102,1645619198,1645619200,1645620035,1645620040,1645620040,1645620040,1645620045,2,840,5
individuals,ID0000021,2264.000.000,192.168.5.101,1645612747,1645614205,1645614820,1645614824,1645614824,1645614824,1645614829,1458,619,5
individuals,ID0000008,2238.000.000,192.168.5.106,1645612721,1645612772,1645613693,1645613698,1645613698,1645613699,1645613703,51,926,5
individuals,ID0000017,2246.000.000,192.168.5.102,1645612731,1645613546,1645614387,1645614388,1645614388,1645614389,1645614393,815,842,5
individuals,ID0000035,2220.000.000,192.168.5.104,1645612705,1645612739,1645613646,1645613648,1645613648,1645613649,1645613653,34,909,5
individuals,ID0000012,2249.000.000,192.168.5.103,1645612731,1645613594,1645614448,1645614448,1645614448,1645614448,1645614453,863,854,5
stage_in_local_local_2,1,2212.000.000,192.168.5.10,1645612685,1645612686,1645612691,1645612695,1645612695,1645612695,1645612700,1,9,5
individuals,ID0000001,2232.000.000,192.168.5.103,1645612716,1645612746,1645613125,1645613128,1645613128,1645613128,1645613133,30,382,5
individuals,ID0000031,2223.000.000,192.168.5.101,1645612705,1645612768,1645613487,1645613488,1645613488,1645613488,1645613493,63,720,5
individuals,ID0000037,2215.000.000,192.168.5.102,1645612700,1645612713,1645613528,1645613528,1645613528,1645613529,1645613533,13,815,5
frequency,ID0000058,2270.000.000,192.168.5.102,1645619199,1645619221,1645620103,1645620105,1645620105,1645620105,1645620110,22,884,5
mutation_overlap,ID0000059,2280.000.000,192.168.5.105,1645619209,1645619221,1645619432,1645619434,1645619434,1645619435,1645619439,12,213,5
mutation_overlap,ID0000057,2279.000.000,192.168.5.105,1645619209,1645619221,1645619495,1645619499,1645619499,1645619499,1645619504,12,278,5
