Nodes,Time,Normal Execution,Nodes turned off at the last job,Nodes switched of after 10 seconds,
1,19544,36.5071,36.5071,36.3525,0.423479268
2,10675,37.8846,37.7318,37.3265,1.473157959
3,7622,39.3437,38.9541,38.3596,2.501289914
4,6384,41.7107,41.1178,39.5673,5.138729391
5,5702,44.646,43.3577,41.0011,8.164001254
6,4908,44.8833,42.509,40.1625,10.5179432
7,4774,48.329,46.2012,42.1231,12.84094436
8,4392,50.682,44.9941,42.0962,16.94053116
9,4306,54.0713,48.2079,43.7138,19.15526351
10,4026,55.6481,47.1765,43.1822,22.40130391
11,4062,58.7681,48.8636,42.9868,26.85351407
12,4406,67.8597,53.1043,46.8382,30.97788525
