Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
stage_in_remote_local_0,0,3471.000.000,192.168.5.10,1646054650,1646054652,1646054654,1646054655,1646054655,1646054655,1646054660,2,3,5
stage_in_remote_local_2,0,3469.000.000,192.168.5.10,1646054649,1646054650,1646054652,1646054655,1646054655,1646054655,1646054660,1,5,5
individuals,ID0000030,3487.000.000,192.168.5.104,1646054675,1646054715,1646056063,1646056066,1646056066,1646056066,1646056071,40,1351,5
individuals,ID0000036,3486.000.000,192.168.5.104,1646054675,1646054715,1646056057,1646056061,1646056061,1646056061,1646056066,40,1346,5
stage_in_local_local_2,0,3473.000.000,192.168.5.10,1646054650,1646054652,1646054656,1646054660,1646054660,1646054660,1646054665,2,8,5
individuals,ID0000013,3515.000.000,192.168.5.107,1646054707,1646054769,1646055668,1646055670,1646055670,1646055670,1646055675,62,901,5
individuals,ID0000014,3516.000.000,192.168.5.101,1646054707,1646054744,1646055577,1646055579,1646055579,1646055579,1646055584,37,835,5
individuals,ID0000046,3500.000.000,192.168.5.111,1646054691,1646054745,1646055535,1646055539,1646055539,1646055539,1646055544,54,794,5
frequency,ID0000056,3542.000.000,192.168.5.110,1646060515,1646060528,1646061388,1646061392,1646061392,1646061392,1646061397,13,864,5
individuals,ID0000037,3480.000.000,192.168.5.109,1646054670,1646054673,1646055496,1646055498,1646055498,1646055498,1646055503,3,825,5
mutation_overlap,ID0000055,3536.000.000,192.168.5.104,1646060510,1646060527,1646060736,1646060736,1646060736,1646060736,1646060741,17,209,5
individuals,ID0000026,3520.000.000,192.168.5.105,1646054712,1646054805,1646055834,1646055836,1646055836,1646055837,1646055841,93,1031,5
stage_in_remote_local_0,1,3474.000.000,192.168.5.10,1646054655,1646054656,1646054658,1646054660,1646054660,1646054660,1646054665,1,4,5
individuals,ID0000033,3483.000.000,192.168.5.109,1646054670,1646054710,1646055616,1646055619,1646055619,1646055619,1646055624,40,909,5
stage_in_local_local_0,1,3475.000.000,192.168.5.10,1646054655,1646054656,1646054659,1646054660,1646054660,1646054660,1646054665,1,4,5
frequency,ID0000058,3534.000.000,192.168.5.109,1646060505,1646060527,1646061398,1646061402,1646061402,1646061403,1646061407,22,875,5
individuals,ID0000034,3484.000.000,192.168.5.104,1646054675,1646054714,1646056055,1646056056,1646056056,1646056057,1646056061,39,1342,5
frequency,ID0000060,3531.000.000,192.168.5.109,1646060505,1646060506,1646061327,1646061332,1646061332,1646061333,1646061337,1,826,5
individuals,ID0000015,3509.000.000,192.168.5.108,1646054701,1646054789,1646055678,1646055680,1646055680,1646055680,1646055685,88,891,5
sifting,ID0000052,3479.000.000,192.168.5.109,1646054670,1646054670,1646054673,1646054675,1646054675,1646054675,1646054681,0,5,6
stage_in_local_local_0,2,3478.000.000,192.168.5.10,1646054655,1646054656,1646054658,1646054660,1646054660,1646054660,1646054665,1,4,5
stage_out_local_local_2,1,3545.000.000,192.168.5.10,1646061412,1646061412,1646061416,1646061417,1646061417,1646061417,1646061422,0,5,5
individuals,ID0000010,3518.000.000,192.168.5.101,1646054707,1646054744,1646055579,1646055584,1646055584,1646055584,1646055589,37,840,5
individuals,ID0000031,3488.000.000,192.168.5.110,1646054675,1646054712,1646055619,1646055619,1646055619,1646055619,1646055624,37,907,5
stage_in_local_local_2,1,3476.000.000,192.168.5.10,1646054655,1646054656,1646054660,1646054665,1646054665,1646054666,1646054670,1,9,5
frequency,ID0000054,3539.000.000,192.168.5.110,1646060510,1646060527,1646061445,1646061447,1646061447,1646061447,1646061452,17,920,5
individuals,ID0000008,3503.000.000,192.168.5.111,1646054691,1646054781,1646055552,1646055554,1646055554,1646055554,1646055559,90,773,5
individuals,ID0000016,3510.000.000,192.168.5.108,1646054701,1646054789,1646055676,1646055680,1646055680,1646055680,1646055685,88,891,5
individuals,ID0000019,3517.000.000,192.168.5.101,1646054707,1646054731,1646055543,1646055544,1646055544,1646055545,1646055549,24,813,5
individuals,ID0000021,3529.000.000,192.168.5.111,1646054722,1646055553,1646056218,1646056221,1646056221,1646056221,1646056226,831,668,5
mutation_overlap,ID0000063,3535.000.000,192.168.5.104,1646060505,1646060527,1646060733,1646060736,1646060736,1646060736,1646060741,22,209,5
individuals,ID0000024,3526.000.000,192.168.5.109,1646054717,1646055519,1646056182,1646056186,1646056186,1646056186,1646056191,802,667,5
individuals,ID0000022,3524.000.000,192.168.5.103,1646054717,1646055253,1646056223,1646056226,1646056226,1646056227,1646056231,536,973,5
individuals,ID0000017,3511.000.000,192.168.5.108,1646054701,1646054812,1646055681,1646055685,1646055685,1646055686,1646055690,111,873,5
individuals,ID0000012,3514.000.000,192.168.5.107,1646054706,1646054767,1646055668,1646055670,1646055670,1646055670,1646055675,61,903,5
mutation_overlap,ID0000059,3544.000.000,192.168.5.106,1646060516,1646060527,1646060733,1646060736,1646060736,1646060736,1646060741,11,209,5
individuals,ID0000006,3494.000.000,192.168.5.106,1646054686,1646054761,1646055822,1646055826,1646055826,1646055826,1646055831,75,1065,5
individuals,ID0000025,3527.000.000,192.168.5.111,1646054717,1646055542,1646056204,1646056206,1646056206,1646056206,1646056211,825,664,5
individuals,ID0000040,3505.000.000,192.168.5.102,1646054696,1646054743,1646055857,1646055861,1646055861,1646055862,1646055866,47,1118,5
mutation_overlap,ID0000057,3543.000.000,192.168.5.106,1646060515,1646060527,1646060794,1646060797,1646060797,1646060797,1646060802,12,270,5
individuals,ID0000032,3489.000.000,192.168.5.110,1646054680,1646054708,1646055612,1646055614,1646055614,1646055614,1646055619,28,906,5
individuals,ID0000039,3482.000.000,192.168.5.109,1646054670,1646054710,1646055610,1646055614,1646055614,1646055614,1646055619,40,904,5
individuals,ID0000044,3496.000.000,192.168.5.103,1646054686,1646054708,1646055913,1646055916,1646055916,1646055917,1646055921,22,1208,5
individuals,ID0000009,3504.000.000,192.168.5.102,1646054696,1646054760,1646055844,1646055846,1646055846,1646055846,1646055851,64,1086,5
individuals,ID0000050,3519.000.000,192.168.5.101,1646054712,1646054797,1646055597,1646055599,1646055599,1646055600,1646055604,85,802,5
individuals,ID0000035,3485.000.000,192.168.5.104,1646054675,1646054726,1646056068,1646056071,1646056071,1646056072,1646056076,51,1345,5
individuals,ID0000003,3501.000.000,192.168.5.111,1646054691,1646054779,1646055569,1646055569,1646055569,1646055570,1646055574,88,790,5
individuals,ID0000027,3521.000.000,192.168.5.105,1646054712,1646054824,1646055862,1646055866,1646055866,1646055866,1646055871,112,1042,5
frequency,ID0000066,3540.000.000,192.168.5.110,1646060510,1646060528,1646061322,1646061327,1646061327,1646061327,1646061332,18,799,5
frequency,ID0000062,3532.000.000,192.168.5.109,1646060505,1646060506,1646061326,1646061327,1646061327,1646061327,1646061332,1,821,5
individuals,ID0000028,3522.000.000,192.168.5.105,1646054712,1646054798,1646055846,1646055851,1646055851,1646055851,1646055856,86,1053,5
individuals,ID0000042,3507.000.000,192.168.5.102,1646054696,1646054745,1646055867,1646055871,1646055871,1646055871,1646055876,49,1126,5
individuals,ID0000047,3502.000.000,192.168.5.111,1646054691,1646054779,1646055547,1646055549,1646055549,1646055549,1646055554,88,770,5
individuals,ID0000005,3492.000.000,192.168.5.106,1646054680,1646054721,1646055815,1646055815,1646055815,1646055816,1646055821,41,1094,6
cleanup_1000-genome_0,local,3547.000.000,192.168.5.10,1646061472,1646061472,1646061474,1646061477,1646061477,1646061477,1646061482,0,5,5
individuals,ID0000007,3495.000.000,192.168.5.106,1646054686,1646054729,1646055814,1646055815,1646055815,1646055816,1646055821,43,1086,6
individuals,ID0000018,3512.000.000,192.168.5.107,1646054701,1646054792,1646055695,1646055695,1646055695,1646055695,1646055700,91,903,5
mutation_overlap,ID0000053,3533.000.000,192.168.5.109,1646060505,1646060527,1646060741,1646060741,1646060741,1646060741,1646060746,22,214,5
individuals,ID0000023,3525.000.000,192.168.5.109,1646054717,1646055502,1646056159,1646056161,1646056161,1646056161,1646056166,785,659,5
stage_in_local_local_0,0,3472.000.000,192.168.5.10,1646054650,1646054652,1646054654,1646054655,1646054655,1646054655,1646054660,2,3,5
individuals,ID0000045,3498.000.000,192.168.5.103,1646054686,1646054702,1646055915,1646055916,1646055916,1646055917,1646055921,16,1214,5
