1645766082 INTERNAL *** MONITORD_STARTED ***
1645766081 INTERNAL *** DAGMAN_STARTED 2657.0 ***
1645766085 create_dir_1000-genome_0_local SUBMIT 2658.0 local - 1
1645766086 create_dir_1000-genome_0_local EXECUTE 2658.0 local - 1
1645766088 create_dir_1000-genome_0_local JOB_TERMINATED 2658.0 local - 1
1645766090 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1645766090 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 2658.0 local - 1
1645766090 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 2658.0 local - 1
1645766095 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1645766100 stage_in_remote_local_2_0 SUBMIT 2659.0 local - 2
1645766100 stage_in_remote_local_2_0 EXECUTE 2659.0 local - 2
1645766100 stage_in_remote_local_1_0 SUBMIT 2660.0 local - 3
1645766100 stage_in_remote_local_0_0 SUBMIT 2661.0 local - 4
1645766100 stage_in_local_local_0_0 SUBMIT 2662.0 local - 5
1645766100 stage_in_local_local_2_0 SUBMIT 2663.0 local - 6
1645766102 stage_in_remote_local_2_0 JOB_TERMINATED 2659.0 local - 2
1645766105 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1645766105 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 2659.0 local - 2
1645766102 stage_in_local_local_2_0 EXECUTE 2663.0 local - 6
1645766102 stage_in_local_local_0_0 EXECUTE 2662.0 local - 5
1645766102 stage_in_remote_local_0_0 EXECUTE 2661.0 local - 4
1645766102 stage_in_remote_local_1_0 EXECUTE 2660.0 local - 3
1645766105 stage_in_remote_local_0_0 JOB_TERMINATED 2661.0 local - 4
1645766105 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1645766105 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 2661.0 local - 4
1645766105 stage_in_remote_local_1_0 JOB_TERMINATED 2660.0 local - 3
1645766105 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1645766105 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2660.0 local - 3
1645766105 stage_in_local_local_0_0 JOB_TERMINATED 2662.0 local - 5
1645766105 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1645766105 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2662.0 local - 5
1645766105 stage_in_remote_local_0_1 SUBMIT 2664.0 local - 7
1645766105 stage_in_remote_local_0_1 EXECUTE 2664.0 local - 7
1645766105 stage_in_local_local_0_1 SUBMIT 2665.0 local - 8
1645766105 stage_in_local_local_0_1 EXECUTE 2665.0 local - 8
1645766105 stage_in_local_local_2_1 SUBMIT 2666.0 local - 9
1645766105 stage_in_local_local_2_1 EXECUTE 2666.0 local - 9
1645766105 stage_in_remote_local_2_1 SUBMIT 2667.0 local - 10
1645766105 stage_in_local_local_0_2 SUBMIT 2668.0 local - 11
1645766106 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 2659.0 local - 2
1645766110 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1645766106 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 2660.0 local - 3
1645766110 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1645766106 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 2661.0 local - 4
1645766110 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1645766106 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2662.0 local - 5
1645766110 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
