1645846134 INTERNAL *** MONITORD_STARTED ***
1645846133 INTERNAL *** DAGMAN_STARTED 2819.0 ***
1645846137 create_dir_1000-genome_0_local SUBMIT 2820.0 local - 161
1645846138 create_dir_1000-genome_0_local EXECUTE 2820.0 local - 161
1645846141 create_dir_1000-genome_0_local JOB_TERMINATED 2820.0 local - 161
1645846142 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 161
1645846142 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 2820.0 local - 161
1645846142 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 2820.0 local - 161
1645846147 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 161
1645846152 stage_in_remote_local_2_0 SUBMIT 2821.0 local - 162
1645846152 stage_in_remote_local_2_0 EXECUTE 2821.0 local - 162
1645846152 stage_in_remote_local_1_0 SUBMIT 2822.0 local - 163
1645846152 stage_in_remote_local_0_0 SUBMIT 2823.0 local - 164
1645846152 stage_in_local_local_0_0 SUBMIT 2824.0 local - 165
1645846152 stage_in_local_local_2_0 SUBMIT 2825.0 local - 166
1645846154 stage_in_remote_local_2_0 JOB_TERMINATED 2821.0 local - 162
1645846157 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 162
1645846157 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 2821.0 local - 162
1645846154 stage_in_local_local_2_0 EXECUTE 2825.0 local - 166
1645846154 stage_in_local_local_0_0 EXECUTE 2824.0 local - 165
1645846154 stage_in_remote_local_0_0 EXECUTE 2823.0 local - 164
1645846154 stage_in_remote_local_1_0 EXECUTE 2822.0 local - 163
1645846157 stage_in_local_local_0_0 JOB_TERMINATED 2824.0 local - 165
1645846157 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 165
1645846157 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2824.0 local - 165
1645846157 stage_in_remote_local_0_0 JOB_TERMINATED 2823.0 local - 164
1645846157 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 164
1645846157 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 2823.0 local - 164
1645846157 stage_in_remote_local_1_0 JOB_TERMINATED 2822.0 local - 163
1645846157 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 163
1645846157 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2822.0 local - 163
1645846157 stage_in_remote_local_0_1 SUBMIT 2826.0 local - 167
1645846157 stage_in_local_local_0_1 SUBMIT 2827.0 local - 168
1645846157 stage_in_remote_local_0_1 EXECUTE 2826.0 local - 167
1645846157 stage_in_local_local_0_1 EXECUTE 2827.0 local - 168
1645846157 stage_in_local_local_2_1 SUBMIT 2828.0 local - 169
1645846157 stage_in_local_local_2_1 EXECUTE 2828.0 local - 169
1645846157 stage_in_remote_local_2_1 SUBMIT 2829.0 local - 170
1645846157 stage_in_local_local_0_2 SUBMIT 2830.0 local - 171
1645846158 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 2823.0 local - 164
1645846162 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 164
1645846158 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2824.0 local - 165
1645846162 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 165
1645846158 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 2822.0 local - 163
1645846162 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 163
1645846158 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 2821.0 local - 162
1645846162 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 162
1645846159 stage_in_local_local_2_0 JOB_TERMINATED 2825.0 local - 166
1645846162 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 166
1645846162 stage_in_local_local_2_0 POST_SCRIPT_STARTED 2825.0 local - 166
1645846159 stage_in_local_local_0_2 EXECUTE 2830.0 local - 171
1645846159 stage_in_remote_local_2_1 EXECUTE 2829.0 local - 170
1645846159 stage_in_remote_local_0_1 JOB_TERMINATED 2826.0 local - 167
1645846162 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 167
1645846162 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 2826.0 local - 167
1645846160 stage_in_local_local_0_1 JOB_TERMINATED 2827.0 local - 168
1645846162 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 168
1645846162 stage_in_local_local_0_1 POST_SCRIPT_STARTED 2827.0 local - 168
1645846161 stage_in_remote_local_2_1 JOB_TERMINATED 2829.0 local - 170
1645846162 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 170
1645846162 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 2829.0 local - 170
1645846161 stage_in_local_local_0_2 JOB_TERMINATED 2830.0 local - 171
1645846162 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 171
1645846162 stage_in_local_local_0_2 POST_SCRIPT_STARTED 2830.0 local - 171
1645846162 stage_in_local_local_2_1 JOB_TERMINATED 2828.0 local - 169
1645846162 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 169
1645846162 stage_in_local_local_2_1 POST_SCRIPT_STARTED 2828.0 local - 169
1645846162 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 2829.0 local - 170
1645846167 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 170
1645846162 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 2826.0 local - 167
1645846167 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 167
1645846162 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 2825.0 local - 166
1645846167 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 166
1645846162 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 2828.0 local - 169
