NodeIP,NodeID,frequency,individuals,individuals_merge,mutation_overlap,sifting
192.168.5.10,0, 0, 0, 0, 0, 0
192.168.5.101,1, 3, 20, 1, 1, 0
192.168.5.102,2, 1, 16, 0, 5, 0
192.168.5.103,3, 3, 14, 0, 1, 1

NodeIP, JobType, Count
192.168.5.10,frequency,0
192.168.5.10,individuals,0
192.168.5.10,individuals_merge,0
192.168.5.10,mutation_overlap,0
192.168.5.10,sifting,0
192.168.5.101,frequency,3
192.168.5.101,individuals,20
192.168.5.101,individuals_merge,1
192.168.5.101,mutation_overlap,1
192.168.5.101,sifting,0
192.168.5.102,frequency,1
192.168.5.102,individuals,16
192.168.5.102,individuals_merge,0
192.168.5.102,mutation_overlap,5
192.168.5.102,sifting,0
192.168.5.103,frequency,3
192.168.5.103,individuals,14
192.168.5.103,individuals_merge,0
192.168.5.103,mutation_overlap,1
192.168.5.103,sifting,1
