Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
1645945663,0,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645945664,1,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645945665,2,13.4999997615,3.2999999523,3.2999999523,3.2999999523,3.5999999046
1645945666,3,13.4999997615,3.2999999523,3.2999999523,3.2999999523,3.5999999046
1645945667,4,14.1000001431,3.4000000954,3.7000000477,3.2999999523,3.7000000477
1645945668,5,14.1000001431,3.4000000954,3.7000000477,3.2999999523,3.7000000477
1645945669,6,14.1000001431,3.4000000954,3.7000000477,3.2999999523,3.7000000477
1645945670,7,13.9000000954,3.4000000954,3.5999999046,3.5,3.4000000954
1645945671,8,13.9000000954,3.4000000954,3.5999999046,3.5,3.4000000954
1645945672,9,13.9000000954,3.4000000954,3.5999999046,3.5,3.4000000954
1645945673,10,13.7999999523,3.2999999523,3.5,3.2999999523,3.7000000477
1645945674,11,13.7999999523,3.2999999523,3.5,3.2999999523,3.7000000477
1645945675,12,13.8999998569,3.2999999523,3.5,3.5,3.5999999046
1645945676,13,13.8999998569,3.2999999523,3.5,3.5,3.5999999046
1645945677,14,13.8999998569,3.2999999523,3.5,3.5,3.5999999046
1645945678,15,14,3.5,3.5,3.5,3.5
1645945679,16,14,3.5,3.5,3.5,3.5
1645945680,17,14,3.5,3.5,3.5,3.5
1645945681,18,13.7999999523,3.4000000954,3.5999999046,3.5,3.2999999523
1645945682,19,13.7999999523,3.4000000954,3.5999999046,3.5,3.2999999523
1645945683,20,13.7999999523,3.4000000954,3.5999999046,3.5,3.2999999523
1645945684,21,13.5999999046,3.5,3.2999999523,3.2999999523,3.5
1645945685,22,13.5999999046,3.5,3.2999999523,3.2999999523,3.5
1645945686,23,13.5999999046,3.5,3.2999999523,3.2999999523,3.5
1645945687,24,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945688,25,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945689,26,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945690,27,13.7000002862,3.5,3.4000000954,3.4000000954,3.4000000954
1645945691,28,13.7000002862,3.5,3.4000000954,3.4000000954,3.4000000954
1645945692,29,13.7000002862,3.5,3.4000000954,3.4000000954,3.4000000954
1645945693,30,13.9000000954,3.4000000954,3.5,3.5,3.5
1645945694,31,13.9000000954,3.4000000954,3.5,3.5,3.5
1645945695,32,13.9000000954,3.4000000954,3.5,3.5,3.5
1645945696,33,13.5999999046,3.2999999523,3.5,3.2999999523,3.5
1645945697,34,13.5999999046,3.2999999523,3.5,3.2999999523,3.5
1645945698,35,13.5999999046,3.2999999523,3.5,3.2999999523,3.5
1645945699,36,13.5,3.5,3.2000000477,3.2000000477,3.5999999046
1645945700,37,13.5,3.5,3.2000000477,3.2000000477,3.5999999046
1645945701,38,13.5,3.5,3.2000000477,3.2000000477,3.5999999046
1645945702,39,14,3.5,3.5,3.5,3.5
1645945703,40,14,3.5,3.5,3.5,3.5
1645945704,41,13.4000000954,3.2999999523,3.2000000477,3.5,3.4000000954
1645945705,42,13.4000000954,3.2999999523,3.2000000477,3.5,3.4000000954
1645945706,43,13.4000000954,3.2999999523,3.2000000477,3.5,3.4000000954
1645945707,44,13.6000001431,3.2999999523,3.4000000954,3.5,3.4000000954
1645945708,45,13.5,3.2999999523,3.4000000954,3.2999999523,3.5
1645945709,46,13.5,3.2999999523,3.4000000954,3.2999999523,3.5
1645945710,47,13.8000001908,3.4000000954,3.5,3.4000000954,3.5
1645945711,48,13.9000000954,3.4000000954,3.5,3.4000000954,3.5999999046
1645945712,49,13.8000001908,3.4000000954,3.5,3.5,3.4000000954
1645945713,50,13.8000001908,3.4000000954,3.5,3.5,3.4000000954
1645945714,51,13.8000001908,3.4000000954,3.5,3.5,3.4000000954
1645945715,52,13.5,3.2999999523,3.4000000954,3.2999999523,3.5
1645945716,53,13.5,3.2999999523,3.4000000954,3.2999999523,3.5
1645945717,54,13.5,3.2999999523,3.4000000954,3.2999999523,3.5
1645945718,55,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945719,56,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945720,57,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945721,58,14.2000002862,3.9000000954,3.4000000954,3.4000000954,3.5
1645945722,59,13.9000000954,3.5,3.5,3.5,3.4000000954
1645945723,60,13.9000000954,3.5,3.5,3.5,3.4000000954
1645945724,61,17.7000005245,5.3000001907,4.4000000954,3.7000000477,4.3000001907
1645945725,62,17.7000005245,5.3000001907,4.4000000954,3.7000000477,4.3000001907
1645945726,63,17.0000002384,4.4000000954,4.5999999046,3.7000000477,4.3000001907
1645945727,64,17.0000002384,4.4000000954,4.5999999046,3.7000000477,4.3000001907
1645945728,65,17.3000001908,4.4000000954,4.5999999046,3.9000000954,4.4000000954
1645945729,66,17.3000001908,4.4000000954,4.5999999046,3.9000000954,4.4000000954
1645945730,67,17,4.3000001907,4.1999998093,4.0999999046,4.4000000954
1645945731,68,17.0999999046,4.3000001907,4.1999998093,4.0999999046,4.5
1645945732,69,17.5999999046,4.3000001907,4.6999998093,4.0999999046,4.5
1645945733,70,17.9000000953,4.3000001907,4.6999998093,4.0999999046,4.8000001907
1645945734,71,17.9000000953,4.3000001907,4.6999998093,4.0999999046,4.8000001907
1645945735,72,17.9000000953,4.3000001907,4.6999998093,4.0999999046,4.8000001907
1645945736,73,18.2000002861,4.0999999046,4.8000001907,4.4000000954,4.9000000954
1645945737,74,18.2000002861,4.0999999046,4.8000001907,4.4000000954,4.9000000954
1645945738,75,18.2000002861,4.0999999046,4.8000001907,4.4000000954,4.9000000954
1645945739,76,16.9000003338,4.4000000954,3.7999999523,4.4000000954,4.3000001907
1645945740,77,16.9000003338,4.4000000954,3.7999999523,4.4000000954,4.3000001907
1645945741,78,16.9000003338,4.4000000954,3.7999999523,4.4000000954,4.3000001907
1645945742,79,17.9000005722,4.3000001907,4.4000000954,4.3000001907,4.9000000954
1645945743,80,17.9000005722,4.3000001907,4.4000000954,4.3000001907,4.9000000954
1645945744,81,17.9000005722,4.3000001907,4.4000000954,4.3000001907,4.9000000954
1645945745,82,17.1999995709,3.7999999523,4.5,4.1999998093,4.6999998093
1645945746,83,17.1999995709,3.7999999523,4.5,4.1999998093,4.6999998093
1645945747,84,18.0999994279,4.6999998093,4.5,4.1999998093,4.6999998093
1645945748,85,17.3999996186,4.6999998093,4.3000001907,4.1999998093,4.1999998093
1645945749,86,17.3999996186,4.6999998093,4.3000001907,4.1999998093,4.1999998093
1645945750,87,16.3999996186,4.0999999046,3.9000000954,4.1999998093,4.1999998093
1645945751,88,17,4.0999999046,3.9000000954,4.3000001907,4.6999998093
1645945752,89,17,4.0999999046,3.9000000954,4.3000001907,4.6999998093
1645945753,90,16.9999997616,4.1999998093,3.7999999523,4.3000001907,4.6999998093
1645945754,91,16.7000000477,4.1999998093,3.7999999523,4.3000001907,4.4000000954
1645945755,92,16.7000000477,4.1999998093,3.7999999523,4.3000001907,4.4000000954
1645945756,93,17.2999997139,4.1999998093,4,5.0999999046,4
1645945757,94,17.2999997139,4.1999998093,4,5.0999999046,4
1645945758,95,17.2999997139,4.1999998093,4,5.0999999046,4
1645945759,96,18.5999999047,3.9000000954,3.9000000954,5.0999999046,5.6999998093
