Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
stage_out_local_local_2,1,1613.000.000,192.168.5.10,1644472173,1644472173,1644472177,1644472178,1644472178,1644472178,1644472183,0,5,5
stage_in_remote_local_2,0,1537.000.000,192.168.5.10,1644463737,1644463737,1644463739,1644463743,1644463743,1644463743,1644463748,0,6,5
individuals,ID0000004,1558.000.000,192.168.5.101,1644463769,1644463840,1644464910,1644464911,1644464911,1644464911,1644464916,71,1071,5
individuals,ID0000011,1581.000.000,192.168.5.102,1644463790,1644465112,1644466301,1644466303,1644466303,1644466303,1644466308,1322,1191,5
frequency,ID0000062,1600.000.000,192.168.5.104,1644471187,1644471189,1644472101,1644472103,1644472103,1644472103,1644472108,2,914,5
mutation_overlap,ID0000061,1610.000.000,192.168.5.101,1644471197,1644471210,1644471419,1644471423,1644471423,1644471423,1644471428,13,213,5
individuals,ID0000037,1548.000.000,192.168.5.104,1644463758,1644463853,1644465072,1644465077,1644465077,1644465078,1644465082,95,1224,5
individuals,ID0000047,1570.000.000,192.168.5.105,1644463779,1644463849,1644465081,1644465082,1644465082,1644465082,1644465087,70,1233,5
mutation_overlap,ID0000059,1612.000.000,192.168.5.103,1644471197,1644471210,1644471418,1644471423,1644471423,1644471423,1644471428,13,213,5
individuals,ID0000041,1574.000.000,192.168.5.101,1644463784,1644464912,1644465917,1644465918,1644465918,1644465919,1644465923,1128,1006,5
individuals,ID0000003,1569.000.000,192.168.5.105,1644463779,1644463859,1644465081,1644465082,1644465082,1644465082,1644465087,80,1223,5
mutation_overlap,ID0000057,1611.000.000,192.168.5.103,1644471197,1644471210,1644471490,1644471493,1644471493,1644471494,1644471498,13,283,5
stage_out_local_local_2,0,1614.000.000,192.168.5.10,1644472233,1644472233,1644472237,1644472238,1644472238,1644472238,1644472243,0,5,5
individuals,ID0000034,1552.000.000,192.168.5.102,1644463763,1644463845,1644465033,1644465036,1644465036,1644465036,1644465041,82,1191,5
individuals,ID0000016,1578.000.000,192.168.5.104,1644463790,1644465108,1644466334,1644466338,1644466338,1644466338,1644466343,1318,1230,5
individuals,ID0000008,1571.000.000,192.168.5.105,1644463779,1644463878,1644465081,1644465082,1644465082,1644465082,1644465087,99,1204,5
individuals,ID0000024,1594.000.000,192.168.5.106,1644463806,1644465270,1644466526,1644466528,1644466528,1644466529,1644466533,1464,1258,5
stage_in_remote_local_2,1,1545.000.000,192.168.5.10,1644463742,1644463743,1644463745,1644463748,1644463748,1644463748,1644463753,1,5,5
frequency,ID0000058,1602.000.000,192.168.5.104,1644471187,1644471210,1644472159,1644472163,1644472163,1644472163,1644472168,23,953,5
frequency,ID0000066,1608.000.000,192.168.5.101,1644471192,1644471210,1644472024,1644472028,1644472028,1644472028,1644472033,18,818,5
stage_in_local_local_2,0,1541.000.000,192.168.5.10,1644463737,1644463739,1644463744,1644463748,1644463748,1644463748,1644463753,2,9,5
stage_in_local_local_0,2,1546.000.000,192.168.5.10,1644463743,1644463744,1644463746,1644463748,1644463748,1644463748,1644463753,1,4,5
mutation_overlap,ID0000053,1601.000.000,192.168.5.104,1644471187,1644471210,1644471424,1644471428,1644471428,1644471428,1644471433,23,218,5
individuals,ID0000017,1579.000.000,192.168.5.104,1644463790,1644465105,1644466340,1644466343,1644466343,1644466344,1644466348,1315,1238,5
individuals,ID0000043,1576.000.000,192.168.5.101,1644463784,1644464919,1644465923,1644465928,1644465928,1644465928,1644465933,1135,1009,5
individuals,ID0000021,1597.000.000,192.168.5.101,1644463811,1644465983,1644466861,1644466863,1644466863,1644466864,1644466868,2172,880,5
individuals,ID0000009,1572.000.000,192.168.5.106,1644463784,1644464700,1644466027,1644466028,1644466028,1644466029,1644466033,916,1328,5
mutation_overlap,ID0000055,1604.000.000,192.168.5.102,1644471192,1644471211,1644471420,1644471423,1644471423,1644471423,1644471428,19,212,5
individuals_merge,ID0000051,1598.000.000,192.168.5.101,1644466873,1644466876,1644471173,1644471177,1644471177,1644471177,1644471182,3,4301,5
individuals,ID0000038,1549.000.000,192.168.5.104,1644463758,1644463814,1644465033,1644465036,1644465036,1644465036,1644465041,56,1222,5
individuals,ID0000007,1563.000.000,192.168.5.106,1644463774,1644463803,1644465213,1644465217,1644465217,1644465218,1644465222,29,1414,5
DAGMAN,,1535.0,,1644463718,,,,,,1644472258,,,
individuals,ID0000044,1564.000.000,192.168.5.106,1644463774,1644463837,1644465221,1644465222,1644465222,1644465222,1644465227,63,1385,5
individuals,ID0000049,1561.000.000,192.168.5.103,1644463769,1644463801,1644465038,1644465041,1644465041,1644465041,1644465046,32,1240,5
mutation_overlap,ID0000063,1603.000.000,192.168.5.102,1644471187,1644471211,1644471417,1644471418,1644471418,1644471418,1644471423,24,207,5
individuals,ID0000045,1566.000.000,192.168.5.106,1644463774,1644463824,1644465225,1644465227,1644465227,1644465227,1644465232,50,1403,5
individuals,ID0000010,1586.000.000,192.168.5.103,1644463795,1644465109,1644466286,1644466288,1644466288,1644466288,1644466293,1314,1179,5
individuals,ID0000022,1592.000.000,192.168.5.105,1644463805,1644465157,1644466370,1644466373,1644466373,1644466373,1644466378,1352,1216,5
individuals,ID0000012,1582.000.000,192.168.5.102,1644463795,1644465112,1644466298,1644466298,1644466298,1644466299,1644466303,1317,1186,5
stage_in_remote_local_1,0,1538.000.000,192.168.5.10,1644463737,1644463739,1644463742,1644463743,1644463743,1644463743,1644463748,2,4,5
individuals,ID0000032,1557.000.000,192.168.5.101,1644463769,1644463824,1644464904,1644464906,1644464906,1644464907,1644464911,55,1082,5
individuals,ID0000031,1556.000.000,192.168.5.101,1644463764,1644463798,1644464889,1644464891,1644464891,1644464891,1644464896,34,1093,5
individuals,ID0000005,1560.000.000,192.168.5.103,1644463769,1644463827,1644465033,1644465036,1644465036,1644465036,1644465041,58,1209,5
stage_in_local_local_2,1,1544.000.000,192.168.5.10,1644463742,1644463742,1644463747,1644463748,1644463748,1644463748,1644463753,0,6,5
frequency,ID0000064,1606.000.000,192.168.5.102,1644471192,1644471211,1644471964,1644471968,1644471968,1644471969,1644471973,19,757,5
individuals,ID0000039,1550.000.000,192.168.5.104,1644463758,1644463814,1644465058,1644465062,1644465062,1644465062,1644465067,56,1248,5
frequency,ID0000056,1609.000.000,192.168.5.101,1644471197,1644471210,1644472125,1644472128,1644472128,1644472129,1644472133,13,918,5
