NodeIP,NodeID,frequency,individuals,individuals_merge,mutation_overlap,sifting
192.168.5.10,0, 0, 0, 0, 0, 0
192.168.5.101,1, 0, 8, 0, 0, 0
192.168.5.102,2, 0, 6, 0, 2, 1
192.168.5.103,3, 3, 4, 0, 1, 0
192.168.5.104,4, 3, 4, 1, 1, 0
192.168.5.105,5, 0, 4, 0, 0, 0
192.168.5.106,6, 1, 8, 0, 3, 0
192.168.5.107,7, 0, 8, 0, 0, 0
192.168.5.108,8, 0, 8, 0, 0, 0

NodeIP, JobType, Count
192.168.5.10,frequency,0
192.168.5.10,individuals,0
192.168.5.10,individuals_merge,0
192.168.5.10,mutation_overlap,0
192.168.5.10,sifting,0
192.168.5.101,frequency,0
192.168.5.101,individuals,8
192.168.5.101,individuals_merge,0
192.168.5.101,mutation_overlap,0
192.168.5.101,sifting,0
192.168.5.102,frequency,0
192.168.5.102,individuals,6
192.168.5.102,individuals_merge,0
192.168.5.102,mutation_overlap,2
192.168.5.102,sifting,1
192.168.5.103,frequency,3
192.168.5.103,individuals,4
192.168.5.103,individuals_merge,0
192.168.5.103,mutation_overlap,1
192.168.5.103,sifting,0
192.168.5.104,frequency,3
192.168.5.104,individuals,4
192.168.5.104,individuals_merge,1
192.168.5.104,mutation_overlap,1
192.168.5.104,sifting,0
192.168.5.105,frequency,0
192.168.5.105,individuals,4
192.168.5.105,individuals_merge,0
192.168.5.105,mutation_overlap,0
192.168.5.105,sifting,0
192.168.5.106,frequency,1
192.168.5.106,individuals,8
192.168.5.106,individuals_merge,0
192.168.5.106,mutation_overlap,3
192.168.5.106,sifting,0
192.168.5.107,frequency,0
192.168.5.107,individuals,8
192.168.5.107,individuals_merge,0
192.168.5.107,mutation_overlap,0
192.168.5.107,sifting,0
192.168.5.108,frequency,0
192.168.5.108,individuals,8
192.168.5.108,individuals_merge,0
192.168.5.108,mutation_overlap,0
192.168.5.108,sifting,0
