timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646024340,3.4000000954,3.5,3.4000000954,3.2000000477,3.5,3.5,3.4000000954,3.2000000477,3.7999999523,3.2999999523,3.4000000954,3.4000000954,41.000000477
1646024341,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.4000000954,3.2000000477,3.7999999523,3.2999999523,3.4000000954,3.4000000954,41.0000002385
1646024342,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.2000000477,3.7999999523,3.2999999523,3.4000000954,3.4000000954,40.9000003339
1646024343,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.0999999046,3.4000000954,40.9000000954
1646024344,3.5,3.7999999523,3.5,3.5,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.5999999046,3.4000000954,3.0999999046,3.4000000954,41.5
1646024345,3.5,3.7999999523,3.5,3.5,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.5999999046,3.4000000954,3.7999999523,3.5,41.9000000954
1646024346,3.5,3.7999999523,3.5,3.5,3.2999999523,3.4000000954,3.2000000477,3.4000000954,3.5999999046,3.4000000954,3.7999999523,3.5,41.9000000954
1646024347,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.4000000954,3.7999999523,3.5,41.7000002862
1646024348,3.5,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954,40.7000002862
1646024349,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954,40.6000003816
1646024350,3.4000000954,3.5,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.4000000954,3.2999999523,3.2999999523,3.4000000954,40.7000002862
1646024351,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,40.8000001908
1646024352,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,40.8000001908
1646024353,3.2999999523,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,41.1000003816
1646024354,3.2999999523,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.7999999523,3.4000000954,3.2999999523,3.5,41.3000004293
1646024355,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.7999999523,3.4000000954,3.0999999046,3.7000000477,41.3000006678
1646024356,3.4000000954,3.5,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.7999999523,3.4000000954,3.0999999046,3.7000000477,41.500000477
1646024357,3.4000000954,3.5,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.7000000477,41.500000477
1646024358,3.5,3.5999999046,3.5,3.4000000954,3.0999999046,3.5,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.2999999523,41
1646024359,3.5,3.5999999046,3.5,3.4000000954,3.0999999046,3.5,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.2999999523,41
1646024360,3.5,3.5999999046,3.5,3.4000000954,3.0999999046,3.5,3.5,3.2000000477,3.5,3.2999999523,3.2999999523,3.5999999046,40.9999997615
1646024361,3.2999999523,3.4000000954,3.2999999523,3.4000000954,4,3.5,3.5,3.2000000477,3.5,3.2999999523,3.2999999523,3.5999999046,41.2999999523
1646024362,3.2999999523,3.4000000954,3.2999999523,3.4000000954,4,3.5,3.5,3.5,3.9000000954,3.5,3.0999999046,3.4000000954,41.8000001908
1646024363,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.9000000954,3.5,3.0999999046,3.4000000954,41.3000001908
1646024364,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.9000000954,3.5,3.0999999046,3.4000000954,41.3000001908
1646024365,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.5,3.9000000954,3.5,3.0999999046,3.4000000954,41.3000001908
1646024366,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.7000000477,3.5,3.2000000477,3.2999999523,41.3000004293
1646024367,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.4000000954,3.4000000954,3.2000000477,3.5,3.7000000477,3.5,3.2000000477,3.2999999523,41.3000004293
1646024368,3.4000000954,3.5999999046,3.4000000954,3.7000000477,3.4000000954,3.4000000954,3.5999999046,3.5,3.7000000477,3.5,3.2000000477,3.2999999523,41.7000002862
1646024369,3.5,3.5,3.4000000954,3.4000000954,3.0999999046,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,40.7999999523
1646024370,3.5,3.5,3.4000000954,3.4000000954,3.0999999046,3.5,3.5999999046,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,40.7999999523
