1646045939 INTERNAL *** MONITORD_STARTED ***
1646045938 INTERNAL *** DAGMAN_STARTED 3386.0 ***
1646045942 create_dir_1000-genome_0_local SUBMIT 3387.0 local - 721
1646045944 create_dir_1000-genome_0_local EXECUTE 3387.0 local - 721
1646045946 create_dir_1000-genome_0_local JOB_TERMINATED 3387.0 local - 721
1646045947 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 721
1646045947 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 3387.0 local - 721
1646045947 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 3387.0 local - 721
1646045952 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 721
1646045957 stage_in_remote_local_2_0 SUBMIT 3388.0 local - 722
1646045957 stage_in_remote_local_2_0 EXECUTE 3388.0 local - 722
1646045957 stage_in_remote_local_1_0 SUBMIT 3389.0 local - 723
1646045958 stage_in_remote_local_0_0 SUBMIT 3390.0 local - 724
1646045958 stage_in_local_local_0_0 SUBMIT 3391.0 local - 725
1646045958 stage_in_local_local_2_0 SUBMIT 3392.0 local - 726
1646045960 stage_in_remote_local_2_0 JOB_TERMINATED 3388.0 local - 722
1646045963 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 722
1646045963 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3388.0 local - 722
1646045960 stage_in_local_local_2_0 EXECUTE 3392.0 local - 726
1646045960 stage_in_local_local_0_0 EXECUTE 3391.0 local - 725
1646045960 stage_in_remote_local_0_0 EXECUTE 3390.0 local - 724
1646045960 stage_in_remote_local_1_0 EXECUTE 3389.0 local - 723
1646045962 stage_in_remote_local_0_0 JOB_TERMINATED 3390.0 local - 724
1646045963 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 724
1646045963 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 3390.0 local - 724
1646045962 stage_in_local_local_0_0 JOB_TERMINATED 3391.0 local - 725
1646045963 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 725
1646045963 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3391.0 local - 725
1646045962 stage_in_remote_local_1_0 JOB_TERMINATED 3389.0 local - 723
1646045963 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 723
