Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
individuals,ID0000032,3407.000.000,192.168.5.110,1646045983,1646046016,1646046910,1646046911,1646046911,1646046912,1646046916,33,895,5
individuals,ID0000025,3445.000.000,192.168.5.110,1646046025,1646046927,1646047770,1646047771,1646047771,1646047772,1646047776,902,844,5
individuals,ID0000039,3400.000.000,192.168.5.109,1646045978,1646046041,1646046978,1646046981,1646046981,1646046981,1646046986,63,940,5
individuals,ID0000006,3412.000.000,192.168.5.106,1646045988,1646046002,1646047122,1646047126,1646047126,1646047126,1646047131,14,1124,5
cleanup_1000-genome_0,local,3466.000.000,192.168.5.10,1646053021,1646053021,1646053023,1646053026,1646053026,1646053026,1646053031,0,5,5
individuals,ID0000041,3424.000.000,192.168.5.108,1646046004,1646046063,1646047033,1646047036,1646047036,1646047036,1646047041,59,973,5
DAGMAN,,3386.0,,1646045938,,,,,,1646053032,,,
individuals,ID0000023,3443.000.000,192.168.5.110,1646046025,1646046915,1646047741,1646047746,1646047746,1646047746,1646047751,890,831,5
mutation_overlap,ID0000059,3463.000.000,192.168.5.106,1646052075,1646052078,1646052289,1646052291,1646052291,1646052291,1646052296,3,213,5
individuals,ID0000044,3414.000.000,192.168.5.103,1646045993,1646046033,1646047170,1646047171,1646047171,1646047172,1646047176,40,1138,5
individuals,ID0000031,3406.000.000,192.168.5.110,1646045983,1646046016,1646046927,1646046931,1646046931,1646046932,1646046936,33,915,5
individuals,ID0000035,3403.000.000,192.168.5.104,1646045983,1646046010,1646047299,1646047301,1646047301,1646047302,1646047306,27,1291,5
frequency,ID0000056,3461.000.000,192.168.5.110,1646052075,1646052079,1646052933,1646052936,1646052936,1646052937,1646052941,4,857,5
individuals,ID0000013,3433.000.000,192.168.5.101,1646046014,1646046087,1646046810,1646046811,1646046811,1646046811,1646046816,73,724,5
stage_in_remote_local_2,0,3388.000.000,192.168.5.10,1646045957,1646045957,1646045960,1646045963,1646045963,1646045963,1646045968,0,6,5
individuals,ID0000011,3431.000.000,192.168.5.101,1646046009,1646046067,1646046800,1646046800,1646046800,1646046800,1646046806,58,733,6
individuals,ID0000005,3410.000.000,192.168.5.106,1646045988,1646046020,1646047141,1646047141,1646047141,1646047142,1646047146,32,1121,5
stage_in_local_local_2,1,3395.000.000,192.168.5.10,1646045963,1646045964,1646045968,1646045973,1646045973,1646045974,1646045978,1,9,5
individuals,ID0000036,3404.000.000,192.168.5.104,1646045983,1646046025,1646047308,1646047311,1646047311,1646047311,1646047316,42,1286,5
individuals,ID0000043,3426.000.000,192.168.5.107,1646046004,1646046074,1646047065,1646047066,1646047066,1646047066,1646047071,70,992,5
individuals,ID0000050,3437.000.000,192.168.5.105,1646046014,1646046086,1646047161,1646047161,1646047161,1646047161,1646047166,72,1075,5
frequency,ID0000064,3457.000.000,192.168.5.104,1646052070,1646052080,1646052789,1646052791,1646052791,1646052792,1646052796,10,711,5
individuals,ID0000027,3439.000.000,192.168.5.101,1646046019,1646046770,1646047472,1646047476,1646047476,1646047476,1646047481,751,706,5
create_dir_1000-genome_0,local,3387.000.000,192.168.5.10,1646045942,1646045944,1646045946,1646045947,1646045947,1646045947,1646045952,2,3,5
