Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
individuals,ID0000015,1977.000.000,192.168.5.103,1644534834,1644534945,1644536888,1644536888,1644536888,1644536888,1644536893,111,1943,5
individuals,ID0000002,1994.000.000,192.168.5.107,1644534850,1644534893,1644536954,1644536958,1644536958,1644536959,1644536963,43,2065,5
individuals,ID0000020,2000.000.000,192.168.5.104,1644534855,1644534951,1644536954,1644536958,1644536958,1644536959,1644536963,96,2007,5
mutation_overlap,ID0000036,2017.000.000,192.168.5.111,1644539579,1644539594,1644539795,1644539795,1644539795,1644539795,1644539800,15,201,5
stage_in_remote_local_1,0,1968.000.000,192.168.5.10,1644534813,1644534816,1644534818,1644534819,1644534819,1644534819,1644534824,3,3,5
individuals,ID0000016,1978.000.000,192.168.5.103,1644534834,1644534882,1644536834,1644536838,1644536838,1644536839,1644536843,48,1956,5
DAGMAN,,1965.0,,1644534794,,,,,,1644540496,,,
individuals,ID0000012,1982.000.000,192.168.5.112,1644534840,1644534881,1644536856,1644536858,1644536858,1644536858,1644536863,41,1977,5
stage_in_local_local_0,2,1976.000.000,192.168.5.10,1644534819,1644534820,1644534822,1644534824,1644534824,1644534824,1644534829,1,4,5
frequency,ID0000029,2016.000.000,192.168.5.111,1644539579,1644539594,1644540450,1644540455,1644540455,1644540455,1644540460,15,861,5
mutation_overlap,ID0000032,2008.000.000,192.168.5.112,1644539569,1644539572,1644539860,1644539865,1644539865,1644539865,1644539870,3,293,5
individuals,ID0000008,1998.000.000,192.168.5.104,1644534855,1644534946,1644536950,1644536953,1644536953,1644536953,1644536958,91,2007,5
stage_in_remote_local_0,0,1969.000.000,192.168.5.10,1644534813,1644534816,1644534818,1644534819,1644534819,1644534819,1644534824,3,3,5
stage_in_local_local_2,1,1974.000.000,192.168.5.10,1644534819,1644534820,1644534824,1644534829,1644534829,1644534829,1644534835,1,9,6
individuals,ID0000003,1996.000.000,192.168.5.107,1644534850,1644534942,1644536997,1644536998,1644536998,1644536998,1644537003,92,2056,5
individuals,ID0000025,1997.000.000,192.168.5.104,1644534855,1644534956,1644536953,1644536953,1644536953,1644536953,1644536958,101,1997,5
individuals,ID0000001,1992.000.000,192.168.5.111,1644534850,1644534881,1644536434,1644536437,1644536437,1644536437,1644536442,31,1556,5
stage_out_local_local_2,0,2019.000.000,192.168.5.10,1644540465,1644540470,1644540474,1644540476,1644540476,1644540476,1644540481,5,6,5
frequency,ID0000041,2004.000.000,192.168.5.103,1644539569,1644539573,1644540377,1644540380,1644540380,1644540380,1644540385,4,807,5
individuals,ID0000010,1986.000.000,192.168.5.108,1644534840,1644534899,1644537315,1644537318,1644537318,1644537318,1644537323,59,2419,5
individuals,ID0000007,1990.000.000,192.168.5.111,1644534845,1644534881,1644536782,1644536783,1644536783,1644536783,1644536788,36,1902,5
individuals,ID0000006,1989.000.000,192.168.5.111,1644534845,1644534881,1644536786,1644536788,1644536788,1644536789,1644536793,36,1907,5
individuals,ID0000017,1979.000.000,192.168.5.103,1644534835,1644534925,1644536889,1644536893,1644536893,1644536894,1644536898,90,1968,5
individuals,ID0000022,1991.000.000,192.168.5.111,1644534845,1644534915,1644536815,1644536818,1644536818,1644536818,1644536823,70,1903,5
mutation_overlap,ID0000028,2012.000.000,192.168.5.108,1644539574,1644539595,1644539802,1644539805,1644539805,1644539805,1644539810,21,210,5
create_dir_1000-genome_0,local,1966.000.000,192.168.5.10,1644534798,1644534799,1644534801,1644534803,1644534803,1644534803,1644534808,1,4,5
mutation_overlap,ID0000030,2006.000.000,192.168.5.103,1644539569,1644539573,1644539772,1644539775,1644539775,1644539775,1644539780,4,202,5
stage_in_remote_local_2,1,1975.000.000,192.168.5.10,1644534819,1644534820,1644534822,1644534824,1644534824,1644534824,1644534829,1,4,5
individuals,ID0000021,2001.000.000,192.168.5.109,1644534855,1644534961,1644536667,1644536668,1644536668,1644536668,1644536673,106,1707,5
mutation_overlap,ID0000034,2015.000.000,192.168.5.108,1644539579,1644539595,1644539798,1644539800,1644539800,1644539800,1644539805,16,205,5
sifting,ID0000027,2002.000.000,192.168.5.109,1644534861,1644534938,1644534941,1644534946,1644534946,1644534946,1644534951,77,8,5
individuals,ID0000013,1983.000.000,192.168.5.112,1644534840,1644534943,1644536866,1644536868,1644536868,1644536868,1644536873,103,1925,5
frequency,ID0000039,2014.000.000,192.168.5.108,1644539579,1644539595,1644540338,1644540340,1644540340,1644540341,1644540345,16,745,5
frequency,ID0000035,2005.000.000,192.168.5.103,1644539569,1644539573,1644540426,1644540430,1644540430,1644540431,1644540435,4,857,5
individuals,ID0000004,1987.000.000,192.168.5.108,1644534845,1644534900,1644537304,1644537308,1644537308,1644537308,1644537313,55,2408,5
individuals_merge,ID0000026,2003.000.000,192.168.5.103,1644537328,1644537330,1644539558,1644539559,1644539559,1644539560,1644539564,2,2229,5
individuals,ID0000024,1995.000.000,192.168.5.107,1644534850,1644534940,1644536998,1644536998,1644536998,1644536998,1644537003,90,2058,5
frequency,ID0000031,2009.000.000,192.168.5.112,1644539574,1644539593,1644540429,1644540430,1644540430,1644540431,1644540435,19,837,5
individuals,ID0000018,1980.000.000,192.168.5.103,1644534835,1644534937,1644536893,1644536893,1644536893,1644536894,1644536898,102,1956,5
cleanup_1000-genome_0,local,2020.000.000,192.168.5.10,1644540486,1644540486,1644540488,1644540491,1644540491,1644540491,1644540496,0,5,5
individuals,ID0000011,1981.000.000,192.168.5.112,1644534835,1644534881,1644536879,1644536883,1644536883,1644536883,1644536888,46,2002,5
individuals,ID0000005,1988.000.000,192.168.5.108,1644534845,1644534884,1644537304,1644537308,1644537308,1644537308,1644537313,39,2424,5
frequency,ID0000033,2010.000.000,192.168.5.112,1644539574,1644539594,1644540453,1644540455,1644540455,1644540455,1644540460,20,861,5
individuals,ID0000019,1985.000.000,192.168.5.108,1644534840,1644534911,1644537315,1644537318,1644537318,1644537318,1644537323,71,2407,5
stage_in_local_local_0,0,1970.000.000,192.168.5.10,1644534813,1644534816,1644534818,1644534819,1644534819,1644534819,1644534824,3,3,5
stage_in_remote_local_2,0,1967.000.000,192.168.5.10,1644534813,1644534813,1644534816,1644534819,1644534819,1644534819,1644534824,0,6,5
mutation_overlap,ID0000040,2011.000.000,192.168.5.112,1644539574,1644539594,1644539791,1644539795,1644539795,1644539795,1644539800,20,201,5
stage_in_local_local_0,1,1973.000.000,192.168.5.10,1644534818,1644534819,1644534821,1644534824,1644534824,1644534824,1644534829,1,5,5
stage_in_remote_local_0,1,1972.000.000,192.168.5.10,1644534818,1644534818,1644534821,1644534824,1644534824,1644534824,1644534829,0,6,5
mutation_overlap,ID0000038,2013.000.000,192.168.5.108,1644539574,1644539595,1644539795,1644539800,1644539800,1644539800,1644539805,21,205,5
stage_out_local_local_2,1,2018.000.000,192.168.5.10,1644540465,1644540465,1644540469,1644540470,1644540470,1644540470,1644540476,0,5,6
stage_in_local_local_2,0,1971.000.000,192.168.5.10,1644534813,1644534816,1644534820,1644534824,1644534824,1644534824,1644534829,3,8,5
frequency,ID0000037,2007.000.000,192.168.5.103,1644539569,1644539573,1644540451,1644540455,1644540455,1644540455,1644540460,4,882,5
individuals,ID0000023,1993.000.000,192.168.5.107,1644534850,1644534930,1644536990,1644536993,1644536993,1644536993,1644536998,80,2063,5
individuals,ID0000009,1999.000.000,192.168.5.104,1644534855,1644534942,1644536944,1644536948,1644536948,1644536948,1644536953,87,2006,5
individuals,ID0000014,1984.000.000,192.168.5.112,1644534840,1644534881,1644536868,1644536873,1644536873,1644536874,1644536878,41,1992,5
