1644897360 INTERNAL *** MONITORD_STARTED ***
1644897358 INTERNAL *** DAGMAN_STARTED 1391.0 ***
1644897362 create_dir_1000-genome_0_local SUBMIT 1392.0 local - 1
1644897363 create_dir_1000-genome_0_local EXECUTE 1392.0 local - 1
1644897365 create_dir_1000-genome_0_local JOB_TERMINATED 1392.0 local - 1
1644897367 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1644897367 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 1392.0 local - 1
1644897367 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 1392.0 local - 1
1644897372 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1644897377 stage_in_remote_local_2_0 SUBMIT 1393.0 local - 2
1644897377 stage_in_remote_local_2_0 EXECUTE 1393.0 local - 2
1644897377 stage_in_remote_local_1_0 SUBMIT 1394.0 local - 3
1644897377 stage_in_remote_local_0_0 SUBMIT 1395.0 local - 4
1644897377 stage_in_local_local_0_0 SUBMIT 1396.0 local - 5
1644897377 stage_in_local_local_2_0 SUBMIT 1397.0 local - 6
1644897379 stage_in_remote_local_2_0 JOB_TERMINATED 1393.0 local - 2
1644897383 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1644897383 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 1393.0 local - 2
1644897379 stage_in_local_local_2_0 EXECUTE 1397.0 local - 6
1644897379 stage_in_local_local_0_0 EXECUTE 1396.0 local - 5
1644897380 stage_in_remote_local_0_0 EXECUTE 1395.0 local - 4
1644897380 stage_in_remote_local_1_0 EXECUTE 1394.0 local - 3
1644897382 stage_in_remote_local_1_0 JOB_TERMINATED 1394.0 local - 3
1644897383 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1644897383 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 1394.0 local - 3
1644897382 stage_in_local_local_0_0 JOB_TERMINATED 1396.0 local - 5
1644897383 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1644897383 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1396.0 local - 5
1644897382 stage_in_remote_local_0_0 JOB_TERMINATED 1395.0 local - 4
1644897383 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
