Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105
1645954397,0,17,3.4000000954,3.5,3.5,3.0999999046,3.5
1645954398,1,17,3.4000000954,3.5,3.5,3.0999999046,3.5
1645954399,2,17.2999999523,3.4000000954,3.5,3.2999999523,3.5,3.5999999046
1645954400,3,17.2999999523,3.4000000954,3.5,3.2999999523,3.5,3.5999999046
1645954401,4,16.6999998092,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523
1645954402,5,16.6999998092,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523
1645954403,6,16.6999998092,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523
1645954404,7,16.6999998092,3.2999999523,3.5,3.2999999523,3.2999999523,3.2999999523
1645954405,8,16.8000001908,3.2999999523,3.5,3.4000000954,3.2000000477,3.4000000954
1645954406,9,16.8000001908,3.2999999523,3.5,3.4000000954,3.2000000477,3.4000000954
1645954407,10,17.3000001908,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.5
1645954408,11,17.3000001908,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.5
1645954409,12,17.3000001908,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.5
1645954410,13,17.4000000954,3.4000000954,3.5,3.4000000954,3.5999999046,3.5
1645954411,14,17.2000002862,3.4000000954,3.5,3.4000000954,3.4000000954,3.5
1645954412,15,17.2000002862,3.4000000954,3.5,3.4000000954,3.4000000954,3.5
1645954413,16,17.2000000477,3.2999999523,3.5,3.5,3.4000000954,3.5
1645954414,17,17.5,3.2999999523,3.5,3.5,3.7999999523,3.4000000954
1645954415,18,17.8000001908,3.4000000954,3.7000000477,3.5,3.7999999523,3.4000000954
1645954416,19,17.8000001908,3.4000000954,3.7000000477,3.5,3.7999999523,3.4000000954
1645954417,20,17.8000001908,3.4000000954,3.7000000477,3.5,3.7999999523,3.4000000954
1645954418,21,17.8000001908,3.4000000954,3.7000000477,3.5,3.7999999523,3.4000000954
1645954419,22,17.4000000954,3.5,3.4000000954,3.4000000954,3.5999999046,3.5
1645954420,23,17.4000000954,3.5,3.4000000954,3.4000000954,3.5999999046,3.5
1645954421,24,17,3.4000000954,3.5,3.2999999523,3.2999999523,3.5
1645954422,25,17,3.4000000954,3.5,3.2999999523,3.2999999523,3.5
1645954423,26,17,3.4000000954,3.5,3.2999999523,3.2999999523,3.5
1645954424,27,17,3.4000000954,3.5,3.2999999523,3.2999999523,3.5
1645954425,28,17,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.2999999523
1645954426,29,17,3.2999999523,3.5999999046,3.4000000954,3.4000000954,3.2999999523
1645954427,30,17.1000001431,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.2999999523
1645954428,31,18,3.4000000954,3.5999999046,3.5,3.5,4
1645954429,32,18,3.4000000954,3.5999999046,3.5,3.5,4
1645954430,33,17.2999999523,3.5,3.4000000954,3.2999999523,3.5999999046,3.5
1645954431,34,17.2999999523,3.5,3.4000000954,3.2999999523,3.5999999046,3.5
1645954432,35,17.2999999523,3.5,3.4000000954,3.2999999523,3.5999999046,3.5
1645954433,36,17.7999999523,3.2999999523,3.4000000954,3.9000000954,3.5999999046,3.5999999046
1645954434,37,17.7999999523,3.2999999523,3.4000000954,3.9000000954,3.5999999046,3.5999999046
1645954435,38,17.7999999523,3.2999999523,3.4000000954,3.9000000954,3.5999999046,3.5999999046
1645954436,39,17.9999997615,3.7000000477,3.5999999046,3.5,3.5999999046,3.5999999046
1645954437,40,17.7999999523,3.7000000477,3.5999999046,3.5,3.5999999046,3.4000000954
1645954438,41,17.7999999523,3.7000000477,3.5999999046,3.5,3.5999999046,3.4000000954
1645954439,42,17.2000002862,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.4000000954
1645954440,43,17.2000002862,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.4000000954
1645954441,44,17.2000002862,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.4000000954
1645954442,45,17.2999999523,3.2999999523,3.5,3.4000000954,3.5,3.5999999046
1645954443,46,17.2999999523,3.2999999523,3.5,3.4000000954,3.5,3.5999999046
1645954444,47,17.3999998569,3.2999999523,3.5999999046,3.5,3.5,3.5
1645954445,48,17.3999998569,3.2999999523,3.5999999046,3.5,3.5,3.5
1645954446,49,17.3999998569,3.2999999523,3.5999999046,3.5,3.5,3.5
1645954447,50,17.5999999046,3.5,3.5999999046,3.5,3.5,3.5
1645954448,51,17.5999999046,3.5,3.5999999046,3.5,3.5499999523,3.4500000477
1645954449,52,17.5999999046,3.5,3.5999999046,3.5,3.5999999046,3.4000000954
1645954450,53,17.5,3.5,3.5,3.5,3.5999999046,3.4000000954
1645954451,54,17.4000000954,3.5,3.4000000954,3.5,3.5999999046,3.4000000954
1645954452,55,17.2000000477,3.5,3.4000000954,3.2999999523,3.5,3.5
1645954453,56,17.2000000477,3.5,3.4000000954,3.2999999523,3.5,3.5
1645954454,57,17,3.2999999523,3.4000000954,3.2999999523,3.5,3.5
1645954455,58,17,3.2999999523,3.4000000954,3.2999999523,3.5,3.5
1645954456,59,18.8000001908,3.9000000954,3.7000000477,4,3.7000000477,3.5
1645954457,60,18.8000001908,3.9000000954,3.7000000477,4,3.7000000477,3.5
1645954458,61,19.9000000954,3.9000000954,3.7000000477,4,3.7000000477,4.5999999046
1645954459,62,19.9000000954,3.9000000954,3.7000000477,4,3.7000000477,4.5999999046
1645954460,63,20.4000000954,4,3.9000000954,3.5,4.8000001907,4.1999998093
1645954461,64,20.4000000954,4,3.9000000954,3.5,4.8000001907,4.1999998093
1645954462,65,20.4000000954,4,3.9000000954,3.5,4.8000001907,4.1999998093
1645954463,66,21.3000001908,4.4000000954,4.3000001907,3.4000000954,4.5,4.6999998093
1645954464,67,21.3000001908,4.4000000954,4.3000001907,3.4000000954,4.5,4.6999998093
1645954465,68,20.7000000477,3.7999999523,4,3.4000000954,4.8000001907,4.6999998093
1645954466,69,20.7000000477,3.7999999523,4,3.4000000954,4.8000001907,4.6999998093
1645954467,70,20.7000000477,3.7999999523,4,3.4000000954,4.8000001907,4.6999998093
1645954468,71,21.8000001908,4.5999999046,4.5,3.4000000954,4.9000000954,4.4000000954
1645954469,72,21.8000001908,4.5999999046,4.5,3.4000000954,4.9000000954,4.4000000954
1645954470,73,21.8000001908,4.5999999046,4.5,3.4000000954,4.9000000954,4.4000000954
1645954471,74,20.8000004291,4.8000001907,4.5,3.4000000954,4.3000001907,3.7999999523
1645954472,75,20.8000004291,4.8000001907,4.5,3.4000000954,4.3000001907,3.7999999523
1645954473,76,20.7999999523,4.1999998093,5.0999999046,3.4000000954,4.3000001907,3.7999999523
1645954474,77,20.7999999523,4.1999998093,5.0999999046,3.4000000954,4.3000001907,3.7999999523
1645954475,78,20.4999997616,4.1999998093,5.0999999046,3.4000000954,4,3.7999999523
1645954476,79,20.4999997616,4.1999998093,5.0999999046,3.4000000954,4,3.7999999523
1645954477,80,22.6000001431,4.8000001907,4.1999998093,5.4000000954,4.4000000954,3.7999999523
1645954478,81,22.5000002385,4.8000001907,4.1999998093,5.4000000954,4.4000000954,3.7000000477
1645954479,82,21.4000003337,4.3000001907,4.3000001907,4.5999999046,4.4000000954,3.7999999523
1645954480,83,21.4000003337,4.3000001907,4.3000001907,4.5999999046,4.4000000954,3.7999999523
1645954481,84,21.4000003337,4.3000001907,4.3000001907,4.5999999046,4.4000000954,3.7999999523
1645954482,85,21.4000003337,4.3000001907,4.3000001907,4.5999999046,4.4000000954,3.7999999523
1645954483,86,22.0000000001,5,4.4000000954,4.5,4.1999998093,3.9000000954
1645954484,87,22.0000000001,5,4.4000000954,4.5,4.1999998093,3.9000000954
1645954485,88,21.0000002384,4.4000000954,4,4.5,3.7999999523,4.3000001907
1645954486,89,21.0000002384,4.4000000954,4,4.5,3.7999999523,4.3000001907
1645954487,90,21.0000002384,4.4000000954,4,4.5,3.7999999523,4.3000001907
1645954488,91,20.9999999999,4.0999999046,4.0999999046,4.8000001907,4,4
1645954489,92,20.9999999999,4.0999999046,4.0999999046,4.8000001907,4,4
1645954490,93,20.9999999999,4.0999999046,4.0999999046,4.8000001907,4,4
1645954491,94,21.5000004768,4.4000000954,4.3000001907,4.8000001907,4,4
1645954492,95,21.7000005245,4.4000000954,4.3000001907,4.9000000954,4.3000001907,3.7999999523
1645954493,96,21.7000005245,4.4000000954,4.3000001907,4.9000000954,4.3000001907,3.7999999523
1645954494,97,21.3000001907,3.7999999523,3.9000000954,5.5,4.3000001907,3.7999999523
1645954495,98,21.2000000477,3.7999999523,3.9000000954,5.5,4.4000000954,3.5999999046
1645954496,99,20.4000000953,4,3.7000000477,5.3000001907,3.7999999523,3.5999999046
1645954497,100,20.4000000953,4,3.7000000477,5.3000001907,3.7999999523,3.5999999046
1645954498,101,20.600000143,4,3.7000000477,5.3000001907,3.7999999523,3.7999999523
1645954499,102,20.600000143,4,3.7000000477,5.3000001907,3.7999999523,3.7999999523
1645954500,103,21.1000001431,3.7999999523,4.5,4.4000000954,4,4.4000000954
1645954501,104,21.1000001431,3.7999999523,4.5,4.4000000954,4,4.4000000954
1645954502,105,22.7000002861,4.4000000954,4.4000000954,5.5999999046,4,4.3000001907
1645954503,106,22.7000002861,4.4000000954,4.4000000954,5.5999999046,4,4.3000001907
1645954504,107,22.7000002861,4.4000000954,4.4000000954,5.5999999046,4,4.3000001907
1645954505,108,22.7000002861,4.4000000954,4.4000000954,5.5999999046,4,4.3000001907
1645954506,109,22.3999996185,4.0999999046,4.3000001907,5.6999998093,4.1999998093,4.0999999046
1645954507,110,22.3999996185,4.0999999046,4.3000001907,5.6999998093,4.1999998093,4.0999999046
1645954508,111,22.1999993324,4.0999999046,4.1999998093,5.5999999046,4.0999999046,4.1999998093
1645954509,112,22.1999993324,4.0999999046,4.1999998093,5.5999999046,4.0999999046,4.1999998093
1645954510,113,22.1999993324,4.0999999046,4.1999998093,5.5999999046,4.0999999046,4.1999998093
1645954511,114,23.1999998092,4.0999999046,4.5,6.0999999046,4.3000001907,4.1999998093
1645954512,115,23.1999998092,4.0999999046,4.5,6.0999999046,4.3000001907,4.1999998093
1645954513,116,22.8999996185,4.0999999046,4.1999998093,6.0999999046,4.3000001907,4.1999998093
1645954514,117,23.0999999046,4.0999999046,4.1999998093,6.0999999046,4.4000000954,4.3000001907
1645954515,118,23.0999999046,4.0999999046,4.1999998093,6.0999999046,4.4000000954,4.3000001907
1645954516,119,23.2000002861,4.1999998093,4.9000000954,5.5,4.3000001907,4.3000001907
1645954517,120,22.8000001908,4.1999998093,4.9000000954,5.5,4.3000001907,3.9000000954
1645954518,121,22.8000001908,4.1999998093,4.9000000954,5.5,4.3000001907,3.9000000954
1645954519,122,25.4000000953,4.4000000954,5.3000001907,5.5999999046,4.0999999046,6
1645954520,123,25.4000000953,4.4000000954,5.3000001907,5.5999999046,4.0999999046,6
1645954521,124,25.4000000953,4.4000000954,5.3000001907,5.5999999046,4.0999999046,6
1645954522,125,27.5999994278,5.1999998093,5.5999999046,5.5,5.6999998093,5.5999999046
1645954523,126,27.5999994278,5.1999998093,5.5999999046,5.5,5.6999998093,5.5999999046
1645954524,127,27.5999994278,5.1999998093,5.5999999046,5.5,5.6999998093,5.5999999046
1645954525,128,29.8000001908,6.4000000954,5.9000000954,5.5,5.4000000954,6.5999999046
1645954526,129,29.8000001908,6.4000000954,5.9000000954,5.5,5.4000000954,6.5999999046
1645954527,130,29.8000001908,6.4000000954,5.9000000954,5.5,5.4000000954,6.5999999046
1645954528,131,29.8000001908,6.4000000954,5.9000000954,5.5,5.4000000954,6.5999999046
1645954529,132,30.5999999046,6.5,7,5.5999999046,5.4000000954,6.0999999046
1645954530,133,30.5999999046,6.5,7,5.5999999046,5.4000000954,6.0999999046
1645954531,134,31.9000000952,7.3000001907,7.0999999046,5.5999999046,5.5999999046,6.3000001907
1645954532,135,31.9000000952,7.3000001907,7.0999999046,5.5999999046,5.5999999046,6.3000001907
1645954533,136,31.9000000952,7.3000001907,7.0999999046,5.5999999046,5.5999999046,6.3000001907
1645954534,137,28.3999996184,7.0999999046,5.5999999046,5.5999999046,4.5,5.5999999046
1645954535,138,28.3999996184,7.0999999046,5.5999999046,5.5999999046,4.5,5.5999999046
1645954536,139,28.3999996184,7.0999999046,5.5999999046,5.5999999046,4.5,5.5999999046
1645954537,140,28.5999994278,7.1999998093,5.5999999046,5.5999999046,4.5,5.6999998093
1645954538,141,28.5999994278,7.1999998093,5.5999999046,5.5999999046,4.5,5.6999998093
1645954539,142,28.5999994278,7.1999998093,5.5999999046,5.5999999046,4.5,5.6999998093
1645954540,143,28.6999998093,7,5.6999998093,5.5,5.5999999046,4.9000000954
1645954541,144,28.6999998093,7,5.6999998093,5.5,5.5999999046,4.9000000954
1645954542,145,28.6999998093,7,5.6999998093,5.5,5.5999999046,4.9000000954
1645954543,146,30.0999999047,7.9000000954,5.5,5.6999998093,5.1999998093,5.8000001907
1645954544,147,30.0999999047,7.9000000954,5.5,5.6999998093,5.1999998093,5.8000001907
1645954545,148,30.0999999047,7.9000000954,5.5,5.6999998093,5.1999998093,5.8000001907
1645954546,149,28.4000000953,6.4000000954,5.5999999046,5.5999999046,5,5.8000001907
1645954547,150,28.4000000953,6.4000000954,5.5999999046,5.5999999046,5,5.8000001907
1645954548,151,29.7000002861,7.3000001907,6.1999998093,5.3000001907,5.4000000954,5.5
1645954549,152,29.7000002861,7.3000001907,6.1999998093,5.3000001907,5.4000000954,5.5
1645954550,153,29.7000002861,7.3000001907,6.1999998093,5.3000001907,5.4000000954,5.5
1645954551,154,29.5999999047,7.1999998093,6.1999998093,5.3000001907,5.4000000954,5.5
1645954552,155,28.7999997139,7.1999998093,5.5,4.8000001907,5.5999999046,5.6999998093
1645954553,156,28.7999997139,7.1999998093,5.5,4.8000001907,5.5999999046,5.6999998093
1645954554,157,30.1999998093,7.4000000954,6.6999998093,4.8000001907,5.5999999046,5.6999998093
1645954555,158,30.3999996185,7.4000000954,6.6999998093,5.0999999046,5.5999999046,5.5999999046
1645954556,159,30.3999996185,7.4000000954,6.6999998093,5.0999999046,5.5999999046,5.5999999046
1645954557,160,29.8999996185,7.1999998093,6.3000001907,5.5999999046,5.1999998093,5.5999999046
1645954558,161,29.8999996185,7.1999998093,6.3000001907,5.5999999046,5.1999998093,5.5999999046
1645954559,162,29.8999996185,7.1999998093,6.3000001907,5.5999999046,5.1999998093,5.5999999046
1645954560,163,26.4000000953,6.3000001907,5.6999998093,4.3000001907,4.5,5.5999999046
1645954561,164,26.4000000953,6.3000001907,5.6999998093,4.3000001907,4.5,5.5999999046
1645954562,165,26.4000000953,6.3000001907,5.6999998093,4.3000001907,4.5,5.5999999046
1645954563,166,29,7.3000001907,5.4000000954,5.5,5.5999999046,5.1999998093
