timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644463719, ,3.4000000954,3.0999999046,3.2000000477,3.5999999046,3.2000000477,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3,3.5
1644463720, ,3.4000000954,3.0999999046,3.2000000477,3.5999999046,3.2000000477,3.4000000954,3.5,3.4000000954,3.7999999523,3.5999999046,3,3.5
1644463721, ,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.7999999523,3.5999999046,2.9000000954,3.4000000954
1644463722, ,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.7999999523,3.5999999046,2.9000000954,3.4000000954
1644463723, ,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,3.4000000954,2.9000000954,3.4000000954
1644463724, ,3.2999999523,3.2000000477,3,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,3.4000000954,3.0999999046,3.5
1644463725, ,3.2999999523,3.2000000477,3,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,3.4000000954,3.0999999046,3.5
1644463726, ,3.2999999523,3.2000000477,3,3.4000000954,3.2000000477,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.0999999046,3.5
1644463727, ,3.2999999523,3.2000000477,3,3.4000000954,3.2000000477,3.5,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.0999999046,3.5
1644463728, ,3.4000000954,3.7000000477,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.2999999523,3,3.5999999046
1644463729, ,3.4000000954,3.7000000477,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.2999999523,3,3.5999999046
1644463730, ,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.2999999523,3,3.5999999046
1644463731, ,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5,3.5,3.2000000477,3.5,2.9000000954,3.4000000954
1644463732, ,3.2999999523,3.4000000954,3,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.5,3.2000000477,3.5,2.9000000954,3.4000000954
1644463733, ,3.2999999523,3.4000000954,3,3.2999999523,3.4000000954,3.2999999523,3.2000000477,3.5,3.2000000477,3.5,2.9000000954,3.4000000954
1644463734, ,3.2000000477,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523,3.5,3.4000000954,3.7999999523,3.5,3,3.2000000477
1644463735, ,3.2000000477,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523,3.5,3.4000000954,3.7999999523,3.5,3,3.2000000477
1644463736, ,3.2000000477,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523,3.5,3.4000000954,3.7999999523,3.5,3,3.2000000477
1644463737, ,3.4000000954,3.7999999523,3.2000000477,3.7000000477,3.4000000954,3.2999999523,3.5,3.4000000954,3.5,3.4000000954,3,3.4000000954
1644463738, ,3.4000000954,3.5,3.2000000477,3.2999999523,3.0999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.4000000954
1644463739, ,3.4000000954,3.5,3.2000000477,3.2999999523,3.0999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3,3.4000000954
