timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646011791,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523,4.0999999046,41.6000003816
1646011792,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.2999999523,4.0999999046,41.6000003816
1646011793,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,41.0000002385
1646011794,3.4000000954,3.5,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,41.0000002385
1646011795,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.2999999523,3.4000000954,3.5,3.2999999523,3.2999999523,3.5,41.2999999523
1646011796,3.4000000954,3.5,3.5,3.5999999046,3.5,3.5,3.4000000954,3.2000000477,3.5,3.2999999523,3.2999999523,3.5,41.2000000477
1646011797,3.2000000477,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.5,3.4000000954,3.2000000477,3.5999999046,3.5,3.2999999523,3.5999999046,40.8999998569
1646011798,3.2000000477,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.5,3.4000000954,3.2000000477,3.5999999046,3.5,3.2999999523,3.5999999046,40.8999998569
1646011799,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.7000000477,40.9999997615
1646011800,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.7000000477,40.9999997615
1646011801,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.5,3.5,3.2999999523,3.5,3.2999999523,3.4000000954,3.7000000477,40.6999998092
1646011802,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.2999999523,3.5,3.2999999523,3.2999999523,3.4000000954,3.2000000477,3.2000000477,3.4000000954,39.7999999523
1646011803,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.2000000477,3.2000000477,3.4000000954,40.6000003816
1646011804,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954,3.2000000477,3.2000000477,3.4000000954,40.6000003816
1646011805,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5,41.4000003339
1646011806,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5,41.4000003339
1646011807,3.4000000954,3.5999999046,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523,3.5999999046,3.5,3.0999999046,3.5,41.2000000477
1646011808,3.4000000954,3.5,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5999999046,3.5,3.0999999046,3.5,41.1000001431
1646011809,3.4000000954,3.5,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5999999046,3.5,3.0999999046,3.5,41.1000001431
1646011810,3.4000000954,3.5,3.5,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.4000000954,3.5,3.2999999523,3.5,41.3000004293
1646011811,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.2999999523,3.5,40.8000001908
1646011812,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.5,3.2999999523,3.5,40.8000001908
1646011813,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.2999999523,3,3.4000000954,40.3000004293
1646011814,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.5,3.4000000954,3.4000000954,3.2999999523,3,3.4000000954,40.9000003339
1646011815,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523,3.4000000954,3.2999999523,3,3.4000000954,40.7000002862
1646011816,3.4000000954,3.5999999046,3.4000000954,3.5,3.5,3.5,3.4000000954,3.2999999523,3.5,3.5,3.5,3.5999999046,41.7000000477
1646011817,3.4000000954,3.5999999046,3.5,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.5999999046,41.4999997615
1646011818,3.4000000954,3.5999999046,3.5,3.5999999046,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.5,3.5,3.5,3.5999999046,41.4999997615
1646011819,3.4000000954,3.5999999046,3.5,3.5999999046,3.2999999523,3.2999999523,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.5,3.5999999046,41.0999999046
1646011820,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.0999999046,3.2999999523,40.2000000477
1646011821,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.2000000477,3.4000000954,3.2999999523,40.7000002862
1646011822,3.2999999523,3.5,3.5,3.5,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.2000000477,3.4000000954,3.7000000477,41.1000003816
1646011823,3.2999999523,3.7000000477,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.4000000954,3.2000000477,3.4000000954,3.7000000477,41.000000477
1646011824,3.2999999523,3.7000000477,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.4000000954,3.5,3.4000000954,3.2000000477,3.4000000954,3.7000000477,41.2000002862
1646011825,3.2999999523,3.7000000477,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.2999999523,40.7999997138
1646011826,3.5,3.5999999046,3.2999999523,3.5,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.2999999523,40.7999997138
1646011827,3.5,3.5999999046,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.2000000477,3.5999999046,3.5999999046,3.0999999046,3.2999999523,40.7999997138
