Nodes,Time,Normal Execution,Nodes turned off at the last job,Nodes switched of after 10 seconds,% gain (normal vs 10sec off)
1,14850,22.5919,22.5919,22.5024,0.396159686
2,10439,27.947,27.8563,23.6392,15.41417683
3,9078,33.5076,33.295,24.9018,25.6831286
4,8471,39.8661,38.8306,25.5499,35.91071111
5,8048,45.787,39.4452,26.0509,43.1041562
6,7446,49.6192,38.7924,25.1801,49.25331323
7,7466,57.3082,40.2636,26.2701,54.15996315
8,7273,62.7883,40.3826,25.9522,58.66714022
9,7165,69.0683,40.7195,26.2118,62.0494496
10,7018,74.5813,40.8903,26.6738,64.23527077
11,6777,78.3559,41.2773,27.0336,65.49896051
12,6570,82.5279,40.0745,26.2305,68.21620325
