1644534796 INTERNAL *** MONITORD_STARTED ***
1644534794 INTERNAL *** DAGMAN_STARTED 1965.0 ***
1644534798 create_dir_1000-genome_0_local SUBMIT 1966.0 local - 1
1644534799 create_dir_1000-genome_0_local EXECUTE 1966.0 local - 1
1644534801 create_dir_1000-genome_0_local JOB_TERMINATED 1966.0 local - 1
1644534803 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1644534803 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 1966.0 local - 1
1644534803 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 1966.0 local - 1
1644534808 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1644534813 stage_in_remote_local_2_0 SUBMIT 1967.0 local - 2
1644534813 stage_in_remote_local_2_0 EXECUTE 1967.0 local - 2
1644534813 stage_in_remote_local_1_0 SUBMIT 1968.0 local - 3
1644534813 stage_in_remote_local_0_0 SUBMIT 1969.0 local - 4
1644534813 stage_in_local_local_0_0 SUBMIT 1970.0 local - 5
1644534813 stage_in_local_local_2_0 SUBMIT 1971.0 local - 6
1644534816 stage_in_remote_local_2_0 JOB_TERMINATED 1967.0 local - 2
1644534819 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1644534819 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 1967.0 local - 2
1644534816 stage_in_local_local_2_0 EXECUTE 1971.0 local - 6
1644534816 stage_in_local_local_0_0 EXECUTE 1970.0 local - 5
1644534816 stage_in_remote_local_0_0 EXECUTE 1969.0 local - 4
1644534816 stage_in_remote_local_1_0 EXECUTE 1968.0 local - 3
1644534818 stage_in_remote_local_1_0 JOB_TERMINATED 1968.0 local - 3
1644534819 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1644534819 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 1968.0 local - 3
1644534818 stage_in_local_local_0_0 JOB_TERMINATED 1970.0 local - 5
1644534819 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1644534819 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1970.0 local - 5
1644534818 stage_in_remote_local_0_0 JOB_TERMINATED 1969.0 local - 4
1644534819 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1644534819 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 1969.0 local - 4
1644534818 stage_in_remote_local_0_1 SUBMIT 1972.0 local - 7
1644534818 stage_in_remote_local_0_1 EXECUTE 1972.0 local - 7
1644534818 stage_in_local_local_0_1 SUBMIT 1973.0 local - 8
1644534819 stage_in_local_local_0_1 EXECUTE 1973.0 local - 8
1644534819 stage_in_local_local_2_1 SUBMIT 1974.0 local - 9
1644534819 stage_in_remote_local_2_1 SUBMIT 1975.0 local - 10
1644534819 stage_in_local_local_0_2 SUBMIT 1976.0 local - 11
1644534819 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 1967.0 local - 2
1644534824 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1644534819 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 1969.0 local - 4
1644534824 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1644534819 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 1968.0 local - 3
1644534824 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1644534819 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1970.0 local - 5
1644534824 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1644534820 stage_in_local_local_2_0 JOB_TERMINATED 1971.0 local - 6
1644534824 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1644534824 stage_in_local_local_2_0 POST_SCRIPT_STARTED 1971.0 local - 6
1644534820 stage_in_local_local_0_2 EXECUTE 1976.0 local - 11
1644534820 stage_in_remote_local_2_1 EXECUTE 1975.0 local - 10
1644534820 stage_in_local_local_2_1 EXECUTE 1974.0 local - 9
1644534821 stage_in_remote_local_0_1 JOB_TERMINATED 1972.0 local - 7
1644534824 stage_in_remote_local_0_1 JOB_SUCCESS 0 local - 7
1644534824 stage_in_remote_local_0_1 POST_SCRIPT_STARTED 1972.0 local - 7
1644534821 stage_in_local_local_0_1 JOB_TERMINATED 1973.0 local - 8
1644534824 stage_in_local_local_0_1 JOB_SUCCESS 0 local - 8
1644534824 stage_in_local_local_0_1 POST_SCRIPT_STARTED 1973.0 local - 8
1644534822 stage_in_remote_local_2_1 JOB_TERMINATED 1975.0 local - 10
1644534824 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 10
1644534824 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 1975.0 local - 10
1644534822 stage_in_local_local_0_2 JOB_TERMINATED 1976.0 local - 11
1644534824 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 11
1644534824 stage_in_local_local_0_2 POST_SCRIPT_STARTED 1976.0 local - 11
1644534824 stage_in_local_local_2_1 JOB_TERMINATED 1974.0 local - 9
1644534829 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 9
1644534829 stage_in_local_local_2_1 POST_SCRIPT_STARTED 1974.0 local - 9
1644534824 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 1975.0 local - 10
1644534829 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 10
1644534824 stage_in_local_local_0_2 POST_SCRIPT_TERMINATED 1976.0 local - 11
1644534829 stage_in_local_local_0_2 POST_SCRIPT_SUCCESS 0 local - 11
1644534824 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 1971.0 local - 6
1644534829 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1644534824 stage_in_local_local_0_1 POST_SCRIPT_TERMINATED 1973.0 local - 8
1644534829 stage_in_local_local_0_1 POST_SCRIPT_SUCCESS 0 local - 8
1644534824 stage_in_remote_local_0_1 POST_SCRIPT_TERMINATED 1972.0 local - 7
1644534829 stage_in_remote_local_0_1 POST_SCRIPT_SUCCESS 0 local - 7
1644534829 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 1974.0 local - 9
1644534835 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 9
1644534834 individuals_ID0000015 SUBMIT 1977.0 condorpool - 12
1644534834 individuals_ID0000016 SUBMIT 1978.0 condorpool - 13
1644534835 individuals_ID0000017 SUBMIT 1979.0 condorpool - 14
1644534835 individuals_ID0000018 SUBMIT 1980.0 condorpool - 15
1644534835 individuals_ID0000011 SUBMIT 1981.0 condorpool - 16
1644534840 individuals_ID0000012 SUBMIT 1982.0 condorpool - 17
1644534840 individuals_ID0000013 SUBMIT 1983.0 condorpool - 18
1644534840 individuals_ID0000014 SUBMIT 1984.0 condorpool - 19
1644534840 individuals_ID0000019 SUBMIT 1985.0 condorpool - 20
1644534840 individuals_ID0000010 SUBMIT 1986.0 condorpool - 21
1644534845 individuals_ID0000004 SUBMIT 1987.0 condorpool - 22
1644534845 individuals_ID0000005 SUBMIT 1988.0 condorpool - 23
1644534845 individuals_ID0000006 SUBMIT 1989.0 condorpool - 24
1644534845 individuals_ID0000007 SUBMIT 1990.0 condorpool - 25
1644534845 individuals_ID0000022 SUBMIT 1991.0 condorpool - 26
1644534850 individuals_ID0000001 SUBMIT 1992.0 condorpool - 27
1644534850 individuals_ID0000023 SUBMIT 1993.0 condorpool - 28
1644534850 individuals_ID0000002 SUBMIT 1994.0 condorpool - 29
1644534850 individuals_ID0000024 SUBMIT 1995.0 condorpool - 30
1644534850 individuals_ID0000003 SUBMIT 1996.0 condorpool - 31
1644534855 individuals_ID0000025 SUBMIT 1997.0 condorpool - 32
1644534855 individuals_ID0000008 SUBMIT 1998.0 condorpool - 33
1644534855 individuals_ID0000009 SUBMIT 1999.0 condorpool - 34
1644534855 individuals_ID0000020 SUBMIT 2000.0 condorpool - 35
1644534855 individuals_ID0000021 SUBMIT 2001.0 condorpool - 36
1644534861 sifting_ID0000027 SUBMIT 2002.0 condorpool - 37
1644534881 individuals_ID0000012 EXECUTE 1982.0 condorpool - 17
1644534881 individuals_ID0000014 EXECUTE 1984.0 condorpool - 19
1644534881 individuals_ID0000006 EXECUTE 1989.0 condorpool - 24
1644534881 individuals_ID0000007 EXECUTE 1990.0 condorpool - 25
1644534881 individuals_ID0000001 EXECUTE 1992.0 condorpool - 27
1644534881 individuals_ID0000011 EXECUTE 1981.0 condorpool - 16
1644534882 individuals_ID0000016 EXECUTE 1978.0 condorpool - 13
1644534884 individuals_ID0000005 EXECUTE 1988.0 condorpool - 23
1644534893 individuals_ID0000002 EXECUTE 1994.0 condorpool - 29
1644534899 individuals_ID0000010 EXECUTE 1986.0 condorpool - 21
1644534900 individuals_ID0000004 EXECUTE 1987.0 condorpool - 22
1644534911 individuals_ID0000019 EXECUTE 1985.0 condorpool - 20
1644534915 individuals_ID0000022 EXECUTE 1991.0 condorpool - 26
1644534925 individuals_ID0000017 EXECUTE 1979.0 condorpool - 14
1644534930 individuals_ID0000023 EXECUTE 1993.0 condorpool - 28
1644534937 individuals_ID0000018 EXECUTE 1980.0 condorpool - 15
1644534938 sifting_ID0000027 EXECUTE 2002.0 condorpool - 37
1644534940 individuals_ID0000024 EXECUTE 1995.0 condorpool - 30
1644534941 sifting_ID0000027 JOB_TERMINATED 2002.0 condorpool - 37
1644534946 sifting_ID0000027 JOB_SUCCESS 0 condorpool - 37
1644534946 sifting_ID0000027 POST_SCRIPT_STARTED 2002.0 condorpool - 37
1644534942 individuals_ID0000003 EXECUTE 1996.0 condorpool - 31
1644534942 individuals_ID0000009 EXECUTE 1999.0 condorpool - 34
1644534943 individuals_ID0000013 EXECUTE 1983.0 condorpool - 18
1644534945 individuals_ID0000015 EXECUTE 1977.0 condorpool - 12
1644534946 sifting_ID0000027 POST_SCRIPT_TERMINATED 2002.0 condorpool - 37
1644534951 sifting_ID0000027 POST_SCRIPT_SUCCESS 0 condorpool - 37
1644534946 individuals_ID0000008 EXECUTE 1998.0 condorpool - 33
1644534951 individuals_ID0000020 EXECUTE 2000.0 condorpool - 35
