Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
individuals,ID0000028,1445.000.000,192.168.5.108,1644897440,1644897620,1644898986,1644898988,1644898988,1644898988,1644898993,180,1368,5
individuals_merge,ID0000051,1454.000.000,192.168.5.109,1644899449,1644899461,1644903726,1644903727,1644903727,1644903727,1644903732,12,4266,5
individuals,ID0000035,1408.000.000,192.168.5.110,1644897403,1644897490,1644898889,1644898893,1644898893,1644898894,1644898898,87,1403,5
individuals,ID0000015,1432.000.000,192.168.5.103,1644897424,1644897592,1644898814,1644898818,1644898818,1644898818,1644898823,168,1226,5
frequency,ID0000058,1458.000.000,192.168.5.109,1644903738,1644903745,1644904700,1644904700,1644904700,1644904701,1644904705,7,955,5
mutation_overlap,ID0000063,1459.000.000,192.168.5.110,1644903738,1644903744,1644903939,1644903943,1644903943,1644903943,1644903948,6,199,5
individuals,ID0000041,1429.000.000,192.168.5.113,1644897424,1644897555,1644898920,1644898923,1644898923,1644898924,1644898928,131,1368,5
stage_in_local_local_2,1,1400.000.000,192.168.5.10,1644897382,1644897382,1644897387,1644897388,1644897388,1644897388,1644897393,0,6,5
stage_in_local_local_0,2,1402.000.000,192.168.5.10,1644897383,1644897384,1644897386,1644897388,1644897388,1644897388,1644897393,1,4,5
individuals,ID0000020,1451.000.000,192.168.5.101,1644897445,1644898212,1644899142,1644899144,1644899144,1644899144,1644899149,767,932,5
individuals,ID0000040,1428.000.000,192.168.5.113,1644897424,1644897555,1644898920,1644898923,1644898923,1644898923,1644898928,131,1368,5
frequency,ID0000056,1465.000.000,192.168.5.112,1644903748,1644903765,1644904668,1644904670,1644904670,1644904670,1644904675,17,905,5
stage_in_remote_local_2,0,1393.000.000,192.168.5.10,1644897377,1644897377,1644897379,1644897383,1644897383,1644897383,1644897388,0,6,5
individuals,ID0000033,1406.000.000,192.168.5.109,1644897398,1644897506,1644898963,1644898968,1644898968,1644898968,1644898973,108,1462,5
individuals,ID0000036,1409.000.000,192.168.5.110,1644897403,1644897488,1644898880,1644898883,1644898883,1644898883,1644898888,85,1395,5
stage_in_remote_local_0,0,1395.000.000,192.168.5.10,1644897377,1644897380,1644897382,1644897383,1644897383,1644897383,1644897388,3,3,5
individuals,ID0000013,1438.000.000,192.168.5.105,1644897435,1644897525,1644898766,1644898768,1644898768,1644898768,1644898773,90,1243,5
individuals,ID0000021,1452.000.000,192.168.5.101,1644897445,1644898552,1644899436,1644899439,1644899439,1644899440,1644899444,1107,887,5
mutation_overlap,ID0000057,1467.000.000,192.168.5.102,1644903748,1644903765,1644904034,1644904034,1644904034,1644904034,1644904039,17,269,5
individuals,ID0000012,1437.000.000,192.168.5.105,1644897430,1644897501,1644898755,1644898758,1644898758,1644898759,1644898763,71,1257,5
stage_in_remote_local_0,1,1398.000.000,192.168.5.10,1644897382,1644897382,1644897385,1644897388,1644897388,1644897388,1644897393,0,6,5
individuals,ID0000001,1420.000.000,192.168.5.101,1644897414,1644897464,1644898204,1644898206,1644898206,1644898206,1644898211,50,742,5
individuals,ID0000048,1414.000.000,192.168.5.112,1644897409,1644897512,1644898609,1644898612,1644898612,1644898612,1644898617,103,1100,5
stage_in_local_local_0,0,1396.000.000,192.168.5.10,1644897377,1644897379,1644897382,1644897383,1644897383,1644897383,1644897388,2,4,5
individuals,ID0000018,1435.000.000,192.168.5.105,1644897430,1644897507,1644898750,1644898753,1644898753,1644898753,1644898758,77,1246,5
individuals,ID0000030,1410.000.000,192.168.5.110,1644897404,1644897530,1644898910,1644898913,1644898913,1644898913,1644898918,126,1383,5
frequency,ID0000054,1463.000.000,192.168.5.112,1644903743,1644903765,1644904767,1644904770,1644904770,1644904771,1644904775,22,1005,5
stage_in_local_local_0,1,1399.000.000,192.168.5.10,1644897382,1644897382,1644897385,1644897388,1644897388,1644897388,1644897393,0,6,5
stage_in_local_local_2,0,1397.000.000,192.168.5.10,1644897377,1644897379,1644897384,1644897388,1644897388,1644897388,1644897393,2,9,5
frequency,ID0000064,1462.000.000,192.168.5.110,1644903743,1644903765,1644904511,1644904515,1644904515,1644904515,1644904520,22,750,5
mutation_overlap,ID0000055,1460.000.000,192.168.5.110,1644903743,1644903765,1644903967,1644903969,1644903969,1644903969,1644903974,22,204,5
individuals,ID0000022,1447.000.000,192.168.5.106,1644897440,1644897627,1644898963,1644898968,1644898968,1644898968,1644898973,187,1341,5
stage_in_remote_local_2,1,1401.000.000,192.168.5.10,1644897382,1644897383,1644897385,1644897388,1644897388,1644897388,1644897393,1,5,5
individuals,ID0000029,1446.000.000,192.168.5.108,1644897440,1644897631,1644898988,1644898993,1644898993,1644898993,1644898998,191,1362,5
individuals,ID0000017,1434.000.000,192.168.5.103,1644897430,1644897621,1644898824,1644898828,1644898828,1644898829,1644898833,191,1207,5
individuals,ID0000044,1419.000.000,192.168.5.101,1644897414,1644897460,1644898574,1644898577,1644898577,1644898577,1644898582,46,1117,5
individuals,ID0000010,1441.000.000,192.168.5.104,1644897435,1644897543,1644898872,1644898873,1644898873,1644898874,1644898878,108,1330,5
individuals,ID0000005,1415.000.000,192.168.5.102,1644897409,1644897448,1644898688,1644898692,1644898692,1644898693,1644898697,39,1244,5
individuals,ID0000034,1407.000.000,192.168.5.110,1644897398,1644897488,1644898880,1644898883,1644898883,1644898883,1644898888,90,1395,5
cleanup_1000-genome_0,local,1471.000.000,192.168.5.10,1644904795,1644904795,1644904797,1644904800,1644904800,1644904800,1644904805,0,5,5
individuals,ID0000002,1422.000.000,192.168.5.101,1644897414,1644897450,1644898545,1644898547,1644898547,1644898547,1644898552,36,1097,5
frequency,ID0000066,1464.000.000,192.168.5.112,1644903743,1644903765,1644904569,1644904570,1644904570,1644904571,1644904575,22,805,5
individuals,ID0000003,1424.000.000,192.168.5.111,1644897419,1644897570,1644898637,1644898637,1644898637,1644898638,1644898642,151,1067,5
individuals,ID0000014,1439.000.000,192.168.5.104,1644897435,1644897520,1644898875,1644898878,1644898878,1644898878,1644898883,85,1358,5
individuals,ID0000007,1418.000.000,192.168.5.102,1644897414,1644897512,1644898729,1644898732,1644898732,1644898733,1644898738,98,1220,6
individuals,ID0000049,1416.000.000,192.168.5.102,1644897409,1644897448,1644898694,1644898697,1644898697,1644898697,1644898702,39,1249,5
individuals,ID0000026,1443.000.000,192.168.5.108,1644897440,1644897628,1644898986,1644898988,1644898988,1644898988,1644898993,188,1360,5
DAGMAN,,1391.0,,1644897358,,,,,,1644904805,,,
mutation_overlap,ID0000065,1461.000.000,192.168.5.110,1644903743,1644903765,1644903961,1644903964,1644903964,1644903964,1644903969,22,199,5
individuals,ID0000039,1405.000.000,192.168.5.109,1644897398,1644897471,1644898944,1644898948,1644898948,1644898948,1644898953,73,1477,5
individuals,ID0000032,1412.000.000,192.168.5.112,1644897404,1644897438,1644898562,1644898562,1644898562,1644898562,1644898567,34,1124,5
frequency,ID0000062,1456.000.000,192.168.5.109,1644903737,1644903745,1644904643,1644904645,1644904645,1644904646,1644904650,8,900,5
individuals,ID0000042,1430.000.000,192.168.5.113,1644897424,1644897597,1644898922,1644898923,1644898923,1644898923,1644898928,173,1326,5
individuals,ID0000047,1425.000.000,192.168.5.111,1644897419,1644897535,1644898578,1644898582,1644898582,1644898582,1644898587,116,1047,5
mutation_overlap,ID0000061,1466.000.000,192.168.5.112,1644903748,1644903765,1644903968,1644903969,1644903969,1644903969,1644903974,17,204,5
individuals,ID0000031,1411.000.000,192.168.5.112,1644897404,1644897438,1644898561,1644898562,1644898562,1644898562,1644898567,34,1124,5
stage_out_local_local_2,0,1470.000.000,192.168.5.10,1644904780,1644904780,1644904784,1644904785,1644904785,1644904785,1644904790,0,5,5
stage_out_local_local_2,1,1469.000.000,192.168.5.10,1644904710,1644904710,1644904714,1644904715,1644904715,1644904715,1644904720,0,5,5
individuals,ID0000004,1413.000.000,192.168.5.112,1644897409,1644897473,1644898600,1644898602,1644898602,1644898602,1644898607,64,1129,5
individuals,ID0000023,1448.000.000,192.168.5.106,1644897445,1644897610,1644898962,1644898963,1644898963,1644898963,1644898968,165,1353,5
mutation_overlap,ID0000059,1468.000.000,192.168.5.102,1644903748,1644903765,1644903966,1644903969,1644903969,1644903969,1644903974,17,204,5
frequency,ID0000060,1455.000.000,192.168.5.109,1644903737,1644903745,1644904580,1644904580,1644904580,1644904580,1644904585,8,835,5
individuals,ID0000050,1442.000.000,192.168.5.104,1644897435,1644897575,1644898874,1644898878,1644898878,1644898878,1644898883,140,1303,5
individuals,ID0000046,1423.000.000,192.168.5.111,1644897419,1644897577,1644898651,1644898652,1644898652,1644898652,1644898657,158,1075,5
individuals,ID0000019,1440.000.000,192.168.5.104,1644897435,1644897520,1644898866,1644898868,1644898868,1644898868,1644898873,85,1348,5
individuals,ID0000016,1433.000.000,192.168.5.103,1644897430,1644897594,1644898814,1644898818,1644898818,1644898818,1644898823,164,1224,5
create_dir_1000-genome_0,local,1392.000.000,192.168.5.10,1644897362,1644897363,1644897365,1644897367,1644897367,1644897367,1644897372,1,4,5
individuals,ID0000038,1404.000.000,192.168.5.109,1644897398,1644897463,1644898940,1644898943,1644898943,1644898943,1644898948,65,1480,5
mutation_overlap,ID0000053,1457.000.000,192.168.5.109,1644903737,1644903745,1644903951,1644903953,1644903953,1644903954,1644903959,8,208,6
individuals,ID0000011,1436.000.000,192.168.5.105,1644897430,1644897549,1644898763,1644898768,1644898768,1644898768,1644898773,119,1219,5
stage_in_remote_local_1,0,1394.000.000,192.168.5.10,1644897377,1644897380,1644897382,1644897383,1644897383,1644897383,1644897388,3,3,5
individuals,ID0000008,1426.000.000,192.168.5.111,1644897419,1644897586,1644898640,1644898642,1644898642,1644898642,1644898647,167,1056,5
individuals,ID0000025,1450.000.000,192.168.5.106,1644897445,1644897608,1644898955,1644898958,1644898958,1644898959,1644898963,163,1350,5
individuals,ID0000037,1403.000.000,192.168.5.109,1644897398,1644897436,1644898879,1644898883,1644898883,1644898883,1644898888,38,1447,5
individuals,ID0000009,1427.000.000,192.168.5.113,1644897419,1644897567,1644898919,1644898923,1644898923,1644898923,1644898928,148,1356,5
sifting,ID0000052,1453.000.000,192.168.5.112,1644897450,1644898563,1644898565,1644898567,1644898567,1644898567,1644898572,1113,4,5
individuals,ID0000027,1444.000.000,192.168.5.108,1644897440,1644897633,1644898982,1644898983,1644898983,1644898984,1644898988,193,1350,5
individuals,ID0000045,1421.000.000,192.168.5.101,1644897414,1644897462,1644898592,1644898597,1644898597,1644898598,1644898602,48,1135,5
individuals,ID0000024,1449.000.000,192.168.5.106,1644897445,1644897596,1644898945,1644898948,1644898948,1644898948,1644898953,151,1352,5
