NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 48, 360, 3, 3, 48, 3, 3, 4
192.168.1.4,2, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,48
192.168.1.161,mDiffFit,360
192.168.1.161,mConcatFit,3
192.168.1.161,mBgModel,3
192.168.1.161,mBackground,48
192.168.1.161,mImgtbl,3
192.168.1.161,mAdd,3
192.168.1.161,mViewer,4
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
