1611573057 INTERNAL *** MONITORD_STARTED ***
1611573053 INTERNAL *** DAGMAN_STARTED 10130.0 ***
1611573057 create_dir_montage_0_local SUBMIT 10131.0 local - 1
1611573058 create_dir_montage_0_local EXECUTE 10131.0 local - 1
1611573061 create_dir_montage_0_local JOB_TERMINATED 10131.0 local - 1
1611573062 create_dir_montage_0_local JOB_SUCCESS 0 local - 1
1611573062 create_dir_montage_0_local POST_SCRIPT_STARTED 10131.0 local - 1
1611573062 create_dir_montage_0_local POST_SCRIPT_TERMINATED 10131.0 local - 1
1611573067 create_dir_montage_0_local POST_SCRIPT_SUCCESS 0 local - 1
1611573072 stage_in_remote_local_2_0 SUBMIT 10132.0 local - 2
1611573073 stage_in_remote_local_2_0 EXECUTE 10132.0 local - 2
1611573073 stage_in_remote_local_1_0 SUBMIT 10133.0 local - 3
1611573073 stage_in_remote_local_0_0 SUBMIT 10134.0 local - 4
1611573073 stage_in_local_local_0_0 SUBMIT 10135.0 local - 5
1611573074 stage_in_remote_local_7_0 SUBMIT 10136.0 local - 6
1611573077 stage_in_remote_local_2_0 JOB_TERMINATED 10132.0 local - 2
1611573079 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1611573079 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 10132.0 local - 2
1611573078 stage_in_remote_local_7_0 EXECUTE 10136.0 local - 6
1611573078 stage_in_local_local_0_0 EXECUTE 10135.0 local - 5
1611573078 stage_in_remote_local_0_0 EXECUTE 10134.0 local - 4
1611573078 stage_in_remote_local_1_0 EXECUTE 10133.0 local - 3
1611573079 stage_in_remote_local_6_0 SUBMIT 10137.0 local - 7
1611573079 stage_in_remote_local_5_0 SUBMIT 10138.0 local - 8
1611573079 stage_in_remote_local_4_0 SUBMIT 10139.0 local - 9
1611573079 stage_in_remote_local_3_0 SUBMIT 10140.0 local - 10
1611573079 stage_in_remote_local_1_1 SUBMIT 10141.0 local - 11
1611573080 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 10132.0 local - 2
1611573085 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1611573080 stage_in_remote_local_7_0 JOB_TERMINATED 10136.0 local - 6
1611573085 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 6
1611573085 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 10136.0 local - 6
1611573080 stage_in_remote_local_1_0 JOB_TERMINATED 10133.0 local - 3
1611573085 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1611573085 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 10133.0 local - 3
1611573080 stage_in_remote_local_0_0 JOB_TERMINATED 10134.0 local - 4
1611573085 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1611573085 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 10134.0 local - 4
1611573081 stage_in_remote_local_1_1 EXECUTE 10141.0 local - 11
1611573081 stage_in_remote_local_3_0 EXECUTE 10140.0 local - 10
1611573082 stage_in_remote_local_4_0 EXECUTE 10139.0 local - 9
1611573082 stage_in_remote_local_5_0 EXECUTE 10138.0 local - 8
1611573082 stage_in_remote_local_6_0 EXECUTE 10137.0 local - 7
