NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 4, 42, 1, 1, 9, 1, 3, 2
192.168.1.162,2, 4, 0, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 4, 30, 0, 0, 1, 0, 0, 0
192.168.1.164,4, 5, 6, 0, 0, 0, 0, 0, 0
192.168.1.165,5, 6, 66, 2, 2, 15, 1, 0, 2
192.168.1.166,6, 5, 61, 0, 0, 10, 1, 0, 0
192.168.1.167,7, 4, 40, 0, 0, 0, 0, 0, 0
192.168.1.168,8, 6, 70, 0, 0, 13, 0, 0, 0
192.168.1.169,9, 6, 5, 0, 0, 0, 0, 0, 0
192.168.1.170,10, 4, 40, 0, 0, 0, 0, 0, 0
192.168.1.4,11, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,4
192.168.1.161,mDiffFit,42
192.168.1.161,mConcatFit,1
192.168.1.161,mBgModel,1
192.168.1.161,mBackground,9
192.168.1.161,mImgtbl,1
192.168.1.161,mAdd,3
192.168.1.161,mViewer,2
192.168.1.162,mProject,4
192.168.1.162,mDiffFit,0
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,4
192.168.1.163,mDiffFit,30
192.168.1.163,mConcatFit,0
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,1
192.168.1.163,mImgtbl,0
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,5
192.168.1.164,mDiffFit,6
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,0
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,6
192.168.1.165,mDiffFit,66
192.168.1.165,mConcatFit,2
192.168.1.165,mBgModel,2
192.168.1.165,mBackground,15
192.168.1.165,mImgtbl,1
192.168.1.165,mAdd,0
192.168.1.165,mViewer,2
192.168.1.166,mProject,5
192.168.1.166,mDiffFit,61
192.168.1.166,mConcatFit,0
192.168.1.166,mBgModel,0
192.168.1.166,mBackground,10
192.168.1.166,mImgtbl,1
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.167,mProject,4
192.168.1.167,mDiffFit,40
192.168.1.167,mConcatFit,0
192.168.1.167,mBgModel,0
192.168.1.167,mBackground,0
192.168.1.167,mImgtbl,0
192.168.1.167,mAdd,0
192.168.1.167,mViewer,0
192.168.1.168,mProject,6
192.168.1.168,mDiffFit,70
192.168.1.168,mConcatFit,0
192.168.1.168,mBgModel,0
192.168.1.168,mBackground,13
192.168.1.168,mImgtbl,0
192.168.1.168,mAdd,0
192.168.1.168,mViewer,0
192.168.1.169,mProject,6
192.168.1.169,mDiffFit,5
192.168.1.169,mConcatFit,0
192.168.1.169,mBgModel,0
192.168.1.169,mBackground,0
192.168.1.169,mImgtbl,0
192.168.1.169,mAdd,0
192.168.1.169,mViewer,0
192.168.1.170,mProject,4
192.168.1.170,mDiffFit,40
192.168.1.170,mConcatFit,0
192.168.1.170,mBgModel,0
192.168.1.170,mBackground,0
192.168.1.170,mImgtbl,0
192.168.1.170,mAdd,0
192.168.1.170,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
