Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
mDiffFit,ID0000034,19929.000.000,192.168.1.161,1612338942,1612338968,1612338985,1612338993,1612338993,1612338995,1612339005,26,25,12
register_local,27_1,20049.000.000,192.168.1.4,1612339713,1612339719,1612339728,1612339736,1612339736,1612339737,1612339746,6,17,10
mProject,ID0000161,19606.000.000,192.168.1.164,1612335909,1612335914,1612337354,1612337357,1612337357,1612337359,1612337369,5,1443,12
mBackground,ID0000305,19819.000.000,192.168.1.161,1612338303,1612338323,1612338367,1612338371,1612338371,1612338375,1612338385,20,48,14
mDiffFit,ID0000109,19933.000.000,192.168.1.165,1612338967,1612339007,1612339031,1612339036,1612339036,1612339040,1612339050,40,29,14
clean_up_local_level,2_3,19790.000.000,192.168.1.4,1612338131,1612338133,1612338147,1612338150,1612338150,1612338152,1612338168,2,17,18
register_local,1_1,20138.000.000,192.168.1.4,1612340343,1612340343,1612340346,1612340349,1612340349,1612340349,1612340354,0,6,5
mDiffFit,ID0000067,20040.000.000,192.168.1.165,1612339650,1612339692,1612339703,1612339707,1612339707,1612339710,1612339721,42,15,14
register_local,22_1,20070.000.000,192.168.1.4,1612339831,1612339836,1612339845,1612339851,1612339851,1612339851,1612339857,5,15,6
register_local,34_1,20135.000.000,192.168.1.4,1612340311,1612340316,1612340318,1612340322,1612340322,1612340322,1612340328,5,6,6
mDiffFit,ID0000099,20062.000.000,192.168.1.165,1612339779,1612339820,1612339835,1612339838,1612339838,1612339840,1612339845,41,18,7
mDiffFit,ID0000078,19978.000.000,192.168.1.163,1612339250,1612339381,1612339387,1612339396,1612339396,1612339398,1612339410,131,15,14
mDiffFit,ID0000236,19687.000.000,192.168.1.163,1612337497,1612337533,1612337545,1612337557,1612337557,1612337559,1612337570,36,24,13
clean_up_local_level,0_7,20109.000.000,192.168.1.4,1612340078,1612340082,1612340099,1612340101,1612340101,1612340101,1612340106,4,19,5
mViewer,ID0000472,20125.000.000,192.168.1.163,1612340213,1612340245,1612340293,1612340295,1612340295,1612340295,1612340300,32,50,5
stage_in_local_local,3_0,19589.000.000,192.168.1.4,1612335817,1612335820,1612335896,1612335897,1612335897,1612335898,1612335903,3,77,6
register_local,0_3,20090.000.000,192.168.1.4,1612339924,1612339931,1612339940,1612339952,1612339952,1612339953,1612339961,7,21,9
