NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 4, 23, 0, 0, 3, 0, 0, 0
192.168.1.162,2, 4, 0, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 4, 60, 0, 0, 10, 2, 2, 2
192.168.1.164,4, 4, 61, 1, 0, 7, 0, 0, 0
192.168.1.165,5, 4, 65, 2, 1, 11, 1, 1, 1
192.168.1.166,6, 4, 4, 0, 0, 0, 0, 0, 0
192.168.1.167,7, 4, 63, 0, 2, 13, 0, 0, 0
192.168.1.168,8, 4, 28, 0, 0, 2, 0, 0, 1
192.168.1.169,9, 4, 5, 0, 0, 0, 0, 0, 0
192.168.1.170,10, 4, 0, 0, 0, 0, 0, 0, 0
192.168.1.171,11, 4, 34, 0, 0, 0, 0, 0, 0
192.168.1.172,12, 4, 17, 0, 0, 2, 0, 0, 0
192.168.1.4,13, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,4
192.168.1.161,mDiffFit,23
192.168.1.161,mConcatFit,0
192.168.1.161,mBgModel,0
192.168.1.161,mBackground,3
192.168.1.161,mImgtbl,0
192.168.1.161,mAdd,0
192.168.1.161,mViewer,0
192.168.1.162,mProject,4
192.168.1.162,mDiffFit,0
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,4
192.168.1.163,mDiffFit,60
192.168.1.163,mConcatFit,0
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,10
192.168.1.163,mImgtbl,2
192.168.1.163,mAdd,2
192.168.1.163,mViewer,2
192.168.1.164,mProject,4
192.168.1.164,mDiffFit,61
192.168.1.164,mConcatFit,1
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,7
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,4
192.168.1.165,mDiffFit,65
192.168.1.165,mConcatFit,2
192.168.1.165,mBgModel,1
192.168.1.165,mBackground,11
192.168.1.165,mImgtbl,1
192.168.1.165,mAdd,1
192.168.1.165,mViewer,1
192.168.1.166,mProject,4
192.168.1.166,mDiffFit,4
192.168.1.166,mConcatFit,0
192.168.1.166,mBgModel,0
192.168.1.166,mBackground,0
192.168.1.166,mImgtbl,0
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.167,mProject,4
192.168.1.167,mDiffFit,63
192.168.1.167,mConcatFit,0
192.168.1.167,mBgModel,2
192.168.1.167,mBackground,13
192.168.1.167,mImgtbl,0
192.168.1.167,mAdd,0
192.168.1.167,mViewer,0
192.168.1.168,mProject,4
192.168.1.168,mDiffFit,28
192.168.1.168,mConcatFit,0
192.168.1.168,mBgModel,0
192.168.1.168,mBackground,2
192.168.1.168,mImgtbl,0
192.168.1.168,mAdd,0
192.168.1.168,mViewer,1
192.168.1.169,mProject,4
192.168.1.169,mDiffFit,5
192.168.1.169,mConcatFit,0
192.168.1.169,mBgModel,0
192.168.1.169,mBackground,0
192.168.1.169,mImgtbl,0
192.168.1.169,mAdd,0
192.168.1.169,mViewer,0
192.168.1.170,mProject,4
192.168.1.170,mDiffFit,0
192.168.1.170,mConcatFit,0
192.168.1.170,mBgModel,0
192.168.1.170,mBackground,0
192.168.1.170,mImgtbl,0
192.168.1.170,mAdd,0
192.168.1.170,mViewer,0
192.168.1.171,mProject,4
192.168.1.171,mDiffFit,34
192.168.1.171,mConcatFit,0
192.168.1.171,mBgModel,0
192.168.1.171,mBackground,0
192.168.1.171,mImgtbl,0
192.168.1.171,mAdd,0
192.168.1.171,mViewer,0
192.168.1.172,mProject,4
192.168.1.172,mDiffFit,17
192.168.1.172,mConcatFit,0
192.168.1.172,mBgModel,0
192.168.1.172,mBackground,2
192.168.1.172,mImgtbl,0
192.168.1.172,mAdd,0
192.168.1.172,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
