NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 17, 102, 0, 1, 17, 2, 3, 3
192.168.1.162,2, 15, 150, 2, 1, 18, 0, 0, 1
192.168.1.163,3, 16, 108, 1, 1, 13, 1, 0, 0
192.168.1.4,4, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,17
192.168.1.161,mDiffFit,102
192.168.1.161,mConcatFit,0
192.168.1.161,mBgModel,1
192.168.1.161,mBackground,17
192.168.1.161,mImgtbl,2
192.168.1.161,mAdd,3
192.168.1.161,mViewer,3
192.168.1.162,mProject,15
192.168.1.162,mDiffFit,150
192.168.1.162,mConcatFit,2
192.168.1.162,mBgModel,1
192.168.1.162,mBackground,18
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,1
192.168.1.163,mProject,16
192.168.1.163,mDiffFit,108
192.168.1.163,mConcatFit,1
192.168.1.163,mBgModel,1
192.168.1.163,mBackground,13
192.168.1.163,mImgtbl,1
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
