NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 13, 109, 2, 1, 15, 1, 3, 3
192.168.1.162,2, 12, 58, 0, 0, 7, 1, 0, 1
192.168.1.163,3, 11, 109, 0, 0, 13, 1, 0, 0
192.168.1.164,4, 12, 84, 1, 2, 13, 0, 0, 0
192.168.1.4,5, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,13
192.168.1.161,mDiffFit,109
192.168.1.161,mConcatFit,2
192.168.1.161,mBgModel,1
192.168.1.161,mBackground,15
192.168.1.161,mImgtbl,1
192.168.1.161,mAdd,3
192.168.1.161,mViewer,3
192.168.1.162,mProject,12
192.168.1.162,mDiffFit,58
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,7
192.168.1.162,mImgtbl,1
192.168.1.162,mAdd,0
192.168.1.162,mViewer,1
192.168.1.163,mProject,11
192.168.1.163,mDiffFit,109
192.168.1.163,mConcatFit,0
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,13
192.168.1.163,mImgtbl,1
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,12
192.168.1.164,mDiffFit,84
192.168.1.164,mConcatFit,1
192.168.1.164,mBgModel,2
192.168.1.164,mBackground,13
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
