NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 8, 92, 1, 0, 13, 1, 3, 2
192.168.1.162,2, 8, 55, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 8, 46, 1, 0, 6, 1, 0, 1
192.168.1.164,4, 8, 21, 0, 0, 0, 0, 0, 0
192.168.1.165,5, 8, 94, 0, 2, 16, 0, 0, 1
192.168.1.166,6, 8, 52, 1, 1, 13, 1, 0, 0
192.168.1.4,7, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,8
192.168.1.161,mDiffFit,92
192.168.1.161,mConcatFit,1
192.168.1.161,mBgModel,0
192.168.1.161,mBackground,13
192.168.1.161,mImgtbl,1
192.168.1.161,mAdd,3
192.168.1.161,mViewer,2
192.168.1.162,mProject,8
192.168.1.162,mDiffFit,55
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,8
192.168.1.163,mDiffFit,46
192.168.1.163,mConcatFit,1
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,6
192.168.1.163,mImgtbl,1
192.168.1.163,mAdd,0
192.168.1.163,mViewer,1
192.168.1.164,mProject,8
192.168.1.164,mDiffFit,21
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,0
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,8
192.168.1.165,mDiffFit,94
192.168.1.165,mConcatFit,0
192.168.1.165,mBgModel,2
192.168.1.165,mBackground,16
192.168.1.165,mImgtbl,0
192.168.1.165,mAdd,0
192.168.1.165,mViewer,1
192.168.1.166,mProject,8
192.168.1.166,mDiffFit,52
192.168.1.166,mConcatFit,1
192.168.1.166,mBgModel,1
192.168.1.166,mBackground,13
192.168.1.166,mImgtbl,1
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
