NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 7, 78, 1, 2, 10, 0, 3, 2
192.168.1.162,2, 7, 28, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 7, 52, 1, 0, 12, 2, 0, 0
192.168.1.164,4, 6, 34, 0, 0, 1, 0, 0, 0
192.168.1.165,5, 7, 81, 1, 1, 17, 1, 0, 2
192.168.1.166,6, 6, 47, 0, 0, 8, 0, 0, 0
192.168.1.167,7, 8, 40, 0, 0, 0, 0, 0, 0
192.168.1.4,8, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,7
192.168.1.161,mDiffFit,78
192.168.1.161,mConcatFit,1
192.168.1.161,mBgModel,2
192.168.1.161,mBackground,10
192.168.1.161,mImgtbl,0
192.168.1.161,mAdd,3
192.168.1.161,mViewer,2
192.168.1.162,mProject,7
192.168.1.162,mDiffFit,28
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,7
192.168.1.163,mDiffFit,52
192.168.1.163,mConcatFit,1
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,12
192.168.1.163,mImgtbl,2
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,6
192.168.1.164,mDiffFit,34
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,1
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,7
192.168.1.165,mDiffFit,81
192.168.1.165,mConcatFit,1
192.168.1.165,mBgModel,1
192.168.1.165,mBackground,17
192.168.1.165,mImgtbl,1
192.168.1.165,mAdd,0
192.168.1.165,mViewer,2
192.168.1.166,mProject,6
192.168.1.166,mDiffFit,47
192.168.1.166,mConcatFit,0
192.168.1.166,mBgModel,0
192.168.1.166,mBackground,8
192.168.1.166,mImgtbl,0
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.167,mProject,8
192.168.1.167,mDiffFit,40
192.168.1.167,mConcatFit,0
192.168.1.167,mBgModel,0
192.168.1.167,mBackground,0
192.168.1.167,mImgtbl,0
192.168.1.167,mAdd,0
192.168.1.167,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
