NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 7, 41, 0, 0, 8, 2, 3, 2
192.168.1.162,2, 4, 23, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 5, 20, 0, 0, 0, 0, 0, 0
192.168.1.164,4, 5, 36, 0, 0, 0, 0, 0, 0
192.168.1.165,5, 8, 86, 1, 0, 22, 0, 0, 2
192.168.1.166,6, 7, 40, 0, 0, 2, 0, 0, 0
192.168.1.167,7, 6, 26, 0, 0, 0, 0, 0, 0
192.168.1.168,8, 6, 88, 2, 3, 16, 1, 0, 0
192.168.1.4,9, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,7
192.168.1.161,mDiffFit,41
192.168.1.161,mConcatFit,0
192.168.1.161,mBgModel,0
192.168.1.161,mBackground,8
192.168.1.161,mImgtbl,2
192.168.1.161,mAdd,3
192.168.1.161,mViewer,2
192.168.1.162,mProject,4
192.168.1.162,mDiffFit,23
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,5
192.168.1.163,mDiffFit,20
192.168.1.163,mConcatFit,0
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,0
192.168.1.163,mImgtbl,0
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,5
192.168.1.164,mDiffFit,36
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,0
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,8
192.168.1.165,mDiffFit,86
192.168.1.165,mConcatFit,1
192.168.1.165,mBgModel,0
192.168.1.165,mBackground,22
192.168.1.165,mImgtbl,0
192.168.1.165,mAdd,0
192.168.1.165,mViewer,2
192.168.1.166,mProject,7
192.168.1.166,mDiffFit,40
192.168.1.166,mConcatFit,0
192.168.1.166,mBgModel,0
192.168.1.166,mBackground,2
192.168.1.166,mImgtbl,0
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.167,mProject,6
192.168.1.167,mDiffFit,26
192.168.1.167,mConcatFit,0
192.168.1.167,mBgModel,0
192.168.1.167,mBackground,0
192.168.1.167,mImgtbl,0
192.168.1.167,mAdd,0
192.168.1.167,mViewer,0
192.168.1.168,mProject,6
192.168.1.168,mDiffFit,88
192.168.1.168,mConcatFit,2
192.168.1.168,mBgModel,3
192.168.1.168,mBackground,16
192.168.1.168,mImgtbl,1
192.168.1.168,mAdd,0
192.168.1.168,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
