NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 4, 51, 0, 0, 10, 0, 3, 1
192.168.1.162,2, 4, 4, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 4, 19, 0, 0, 0, 0, 0, 0
192.168.1.164,4, 4, 28, 0, 0, 0, 0, 0, 0
192.168.1.165,5, 5, 93, 3, 1, 13, 2, 0, 2
192.168.1.166,6, 4, 41, 0, 0, 1, 0, 0, 0
192.168.1.167,7, 4, 0, 0, 0, 0, 0, 0, 0
192.168.1.168,8, 6, 47, 0, 1, 13, 0, 0, 0
192.168.1.169,9, 4, 22, 0, 0, 0, 0, 0, 0
192.168.1.170,10, 5, 27, 0, 0, 0, 0, 0, 0
192.168.1.171,11, 4, 28, 0, 1, 11, 1, 0, 1
192.168.1.4,12, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,4
192.168.1.161,mDiffFit,51
192.168.1.161,mConcatFit,0
192.168.1.161,mBgModel,0
192.168.1.161,mBackground,10
192.168.1.161,mImgtbl,0
192.168.1.161,mAdd,3
192.168.1.161,mViewer,1
192.168.1.162,mProject,4
192.168.1.162,mDiffFit,4
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,4
192.168.1.163,mDiffFit,19
192.168.1.163,mConcatFit,0
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,0
192.168.1.163,mImgtbl,0
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,4
192.168.1.164,mDiffFit,28
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,0
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,5
192.168.1.165,mDiffFit,93
192.168.1.165,mConcatFit,3
192.168.1.165,mBgModel,1
192.168.1.165,mBackground,13
192.168.1.165,mImgtbl,2
192.168.1.165,mAdd,0
192.168.1.165,mViewer,2
192.168.1.166,mProject,4
192.168.1.166,mDiffFit,41
192.168.1.166,mConcatFit,0
192.168.1.166,mBgModel,0
192.168.1.166,mBackground,1
192.168.1.166,mImgtbl,0
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.167,mProject,4
192.168.1.167,mDiffFit,0
192.168.1.167,mConcatFit,0
192.168.1.167,mBgModel,0
192.168.1.167,mBackground,0
192.168.1.167,mImgtbl,0
192.168.1.167,mAdd,0
192.168.1.167,mViewer,0
192.168.1.168,mProject,6
192.168.1.168,mDiffFit,47
192.168.1.168,mConcatFit,0
192.168.1.168,mBgModel,1
192.168.1.168,mBackground,13
192.168.1.168,mImgtbl,0
192.168.1.168,mAdd,0
192.168.1.168,mViewer,0
192.168.1.169,mProject,4
192.168.1.169,mDiffFit,22
192.168.1.169,mConcatFit,0
192.168.1.169,mBgModel,0
192.168.1.169,mBackground,0
192.168.1.169,mImgtbl,0
192.168.1.169,mAdd,0
192.168.1.169,mViewer,0
192.168.1.170,mProject,5
192.168.1.170,mDiffFit,27
192.168.1.170,mConcatFit,0
192.168.1.170,mBgModel,0
192.168.1.170,mBackground,0
192.168.1.170,mImgtbl,0
192.168.1.170,mAdd,0
192.168.1.170,mViewer,0
192.168.1.171,mProject,4
192.168.1.171,mDiffFit,28
192.168.1.171,mConcatFit,0
192.168.1.171,mBgModel,1
192.168.1.171,mBackground,11
192.168.1.171,mImgtbl,1
192.168.1.171,mAdd,0
192.168.1.171,mViewer,1
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
