NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 24, 209, 2, 3, 28, 2, 3, 4
192.168.1.162,2, 24, 151, 1, 0, 20, 1, 0, 0
192.168.1.4,3, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,24
192.168.1.161,mDiffFit,209
192.168.1.161,mConcatFit,2
192.168.1.161,mBgModel,3
192.168.1.161,mBackground,28
192.168.1.161,mImgtbl,2
192.168.1.161,mAdd,3
192.168.1.161,mViewer,4
192.168.1.162,mProject,24
192.168.1.162,mDiffFit,151
192.168.1.162,mConcatFit,1
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,20
192.168.1.162,mImgtbl,1
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
