NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 10, 90, 0, 0, 14, 0, 3, 1
192.168.1.162,2, 9, 23, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 10, 64, 1, 2, 12, 0, 0, 0
192.168.1.164,4, 9, 68, 0, 0, 7, 2, 0, 1
192.168.1.165,5, 10, 115, 2, 1, 15, 1, 0, 2
192.168.1.4,6, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,10
192.168.1.161,mDiffFit,90
192.168.1.161,mConcatFit,0
192.168.1.161,mBgModel,0
192.168.1.161,mBackground,14
192.168.1.161,mImgtbl,0
192.168.1.161,mAdd,3
192.168.1.161,mViewer,1
192.168.1.162,mProject,9
192.168.1.162,mDiffFit,23
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,10
192.168.1.163,mDiffFit,64
192.168.1.163,mConcatFit,1
192.168.1.163,mBgModel,2
192.168.1.163,mBackground,12
192.168.1.163,mImgtbl,0
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,9
192.168.1.164,mDiffFit,68
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,7
192.168.1.164,mImgtbl,2
192.168.1.164,mAdd,0
192.168.1.164,mViewer,1
192.168.1.165,mProject,10
192.168.1.165,mDiffFit,115
192.168.1.165,mConcatFit,2
192.168.1.165,mBgModel,1
192.168.1.165,mBackground,15
192.168.1.165,mImgtbl,1
192.168.1.165,mAdd,0
192.168.1.165,mViewer,2
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
