Job,ID,DagmanID,Node IP,SUBMIT,EXECUTE,JOB_TERMINATED,JOB_SUCCESS,POST_SCRIPT_STARTED,POST_SCRIPT_TERMINATED,POST_SCRIPT_SUCCESS,wait_time,exec_time,ps_time
mDiffFit,ID0000125,14020.000.000,192.168.1.161,1611666447,1611666464,1611666479,1611666489,1611666489,1611666489,1611666503,17,25,14
mDiffFit,ID0000109,13827.000.000,192.168.1.167,1611665349,1611665362,1611665370,1611665370,1611665370,1611665371,1611665382,13,8,12
mBackground,ID0000303,13938.000.000,192.168.1.165,1611665957,1611665970,1611665997,1611666002,1611666002,1611666002,1611666013,13,32,11
register_local,4_4,14119.000.000,192.168.1.4,1611667026,1611667028,1611667030,1611667033,1611667033,1611667034,1611667039,2,5,6
create_dir_montage,local_0,13575.000.000,192.168.1.4,1611662279,1611662280,1611662282,1611662285,1611662285,1611662285,1611662290,1,5,5
mDiffFit,ID0000054,13821.000.000,192.168.1.165,1611665260,1611665296,1611665298,1611665298,1611665298,1611665299,1611665303,36,2,5
mDiffFit,ID0000412,13692.000.000,192.168.1.165,1611664013,1611664065,1611664067,1611664078,1611664078,1611664081,1611664089,52,13,11
mAdd,ID0000470,14082.000.000,192.168.1.161,1611666800,1611666848,1611666973,1611666974,1611666974,1611666975,1611666982,48,126,8
mDiffFit,ID0000127,13760.000.000,192.168.1.166,1611664425,1611664438,1611664439,1611664441,1611664441,1611664442,1611664447,13,3,6
mDiffFit,ID0000063,13835.000.000,192.168.1.166,1611665358,1611665418,1611665425,1611665430,1611665430,1611665432,1611665443,60,12,13
mDiffFit,ID0000124,14024.000.000,192.168.1.163,1611666471,1611666488,1611666496,1611666503,1611666503,1611666504,1611666515,17,15,12
mDiffFit,ID0000378,13991.000.000,192.168.1.161,1611666266,1611666301,1611666313,1611666313,1611666313,1611666313,1611666324,35,12,11
register_local,23_1,14137.000.000,192.168.1.4,1611667201,1611667202,1611667204,1611667207,1611667207,1611667207,1611667212,1,5,5
mDiffFit,ID0000256,13852.000.000,192.168.1.161,1611665402,1611665534,1611665550,1611665561,1611665561,1611665562,1611665573,132,27,12
mDiffFit,ID0000228,13775.000.000,192.168.1.165,1611664723,1611664763,1611664787,1611664790,1611664790,1611664792,1611664796,40,27,6
mDiffFit,ID0000449,13717.000.000,192.168.1.162,1611664122,1611664201,1611664206,1611664213,1611664213,1611664214,1611664219,79,12,6
register_local,32_1,13982.000.000,192.168.1.4,1611666219,1611666222,1611666231,1611666241,1611666241,1611666242,1611666256,3,19,15
mDiffFit,ID0000414,13723.000.000,192.168.1.164,1611664158,1611664241,1611664256,1611664267,1611664267,1611664271,1611664288,83,26,21
stage_in_local_local,1_0,13587.000.000,192.168.1.4,1611662312,1611662317,1611662568,1611662573,1611662573,1611662573,1611662578,5,256,5
mDiffFit,ID0000369,13806.000.000,192.168.1.161,1611665128,1611665155,1611665162,1611665171,1611665171,1611665172,1611665177,27,16,6
mProject,ID0000002,13638.000.000,192.168.1.162,1611662589,1611664284,1611665945,1611665958,1611665958,1611665960,1611665970,1695,1674,12
mDiffFit,ID0000422,13843.000.000,192.168.1.167,1611665370,1611665500,1611665513,1611665529,1611665529,1611665531,1611665548,130,29,19
register_local,18_1,14134.000.000,192.168.1.4,1611667169,1611667170,1611667172,1611667175,1611667175,1611667175,1611667180,1,5,5
mProject,ID0000163,13598.000.000,192.168.1.165,1611662446,1611662467,1611663599,1611663599,1611663599,1611663599,1611663610,21,1132,11
mDiffFit,ID0000380,13713.000.000,192.168.1.165,1611664108,1611664169,1611664175,1611664176,1611664176,1611664181,1611664190,61,7,14
mBackground,ID0000296,13937.000.000,192.168.1.163,1611665953,1611665971,1611666002,1611666013,1611666013,1611666015,1611666029,18,42,16
stage_in_remote_local,2_4,13590.000.000,192.168.1.4,1611662312,1611662317,1611662321,1611662324,1611662324,1611662324,1611662329,5,7,5
mDiffFit,ID0000286,13880.000.000,192.168.1.165,1611665583,1611665700,1611665730,1611665742,1611665742,1611665744,1611665755,117,42,13
mDiffFit,ID0000245,13667.000.000,192.168.1.162,1611663645,1611663721,1611663723,1611663728,1611663728,1611663729,1611663734,76,7,6
mDiffFit,ID0000120,13740.000.000,192.168.1.164,1611664308,1611664352,1611664376,1611664381,1611664381,1611664385,1611664396,44,29,15
mViewer,ID0000157,14131.000.000,192.168.1.161,1611667135,1611667138,1611667166,1611667169,1611667169,1611667170,1611667175,3,31,6
mBgModel,ID0000295,13924.000.000,192.168.1.161,1611665877,1611665885,1611665900,1611665914,1611665914,1611665916,1611665927,8,29,13
mDiffFit,ID0000209,13791.000.000,192.168.1.163,1611664900,1611664956,1611664958,1611664962,1611664962,1611664963,1611664967,56,6,5
mDiffFit,ID0000237,13773.000.000,192.168.1.161,1611664708,1611664750,1611664763,1611664778,1611664778,1611664779,1611664784,42,28,6
mDiffFit,ID0000186,13654.000.000,192.168.1.167,1611663595,1611663662,1611663667,1611663671,1611663671,1611663672,1611663683,67,9,12
stage_in_local_local,4_0,13594.000.000,192.168.1.4,1611662319,1611662321,1611662483,1611662484,1611662484,1611662484,1611662490,2,163,6
mDiffFit,ID0000242,13787.000.000,192.168.1.165,1611664890,1611664937,1611664954,1611664956,1611664956,1611664957,1611664962,47,19,6
mDiffFit,ID0000045,14061.000.000,192.168.1.166,1611666646,1611666699,1611666706,1611666718,1611666718,1611666721,1611666733,53,19,15
mDiffFit,ID0000376,13839.000.000,192.168.1.163,1611665364,1611665483,1611665552,1611665561,1611665561,1611665563,1611665573,119,78,12
mDiffFit,ID0000387,13953.000.000,192.168.1.165,1611666055,1611666083,1611666088,1611666095,1611666095,1611666095,1611666105,28,12,10
mDiffFit,ID0000175,13675.000.000,192.168.1.161,1611663669,1611663767,1611663770,1611663775,1611663775,1611663776,1611663781,98,8,6
mDiffFit,ID0000185,13647.000.000,192.168.1.167,1611663581,1611663624,1611663628,1611663635,1611663635,1611663635,1611663647,43,11,12
clean_up_local_level,0_4,14076.000.000,192.168.1.4,1611666768,1611666769,1611666779,1611666782,1611666782,1611666782,1611666788,1,13,6
mDiffFit,ID0000131,13901.000.000,192.168.1.165,1611665727,1611665813,1611665834,1611665844,1611665844,1611665845,1611665857,86,31,13
mDiffFit,ID0000069,13750.000.000,192.168.1.161,1611664361,1611664387,1611664394,1611664396,1611664396,1611664396,1611664407,26,9,11
mDiffFit,ID0000224,13660.000.000,192.168.1.165,1611663609,1611663691,1611663694,1611663695,1611663695,1611663695,1611663706,82,4,11
mProject,ID0000009,13626.000.000,192.168.1.163,1611662496,1611663570,1611665336,1611665338,1611665338,1611665338,1611665344,1074,1768,6
mDiffFit,ID0000055,13824.000.000,192.168.1.166,1611665267,1611665294,1611665298,1611665298,1611665298,1611665299,1611665303,27,4,5
mDiffFit,ID0000132,13738.000.000,192.168.1.161,1611664297,1611664334,1611664342,1611664353,1611664353,1611664354,1611664366,37,19,13
mDiffFit,ID0000038,14006.000.000,192.168.1.165,1611666373,1611666397,1611666406,1611666410,1611666410,1611666411,1611666423,24,13,13
mDiffFit,ID0000099,13737.000.000,192.168.1.163,1611664295,1611664337,1611664343,1611664353,1611664353,1611664355,1611664366,42,16,13
mDiffFit,ID0000077,13926.000.000,192.168.1.165,1611665890,1611665913,1611665919,1611665927,1611665927,1611665927,1611665943,23,14,16
clean_up_local_level,4_3,13826.000.000,192.168.1.4,1611665349,1611665349,1611665360,1611665364,1611665364,1611665364,1611665370,0,15,6
clean_up_local_level,0_11,14143.000.000,192.168.1.4,1611667251,1611667251,1611667260,1611667262,1611667262,1611667262,1611667267,0,11,5
mDiffFit,ID0000089,13973.000.000,192.168.1.165,1611666172,1611666188,1611666203,1611666213,1611666213,1611666213,1611666225,16,25,12
mDiffFit,ID0000338,13698.000.000,192.168.1.167,1611664037,1611664087,1611664090,1611664102,1611664102,1611664103,1611664114,50,15,12
mDiffFit,ID0000030,13736.000.000,192.168.1.166,1611664275,1611664309,1611664312,1611664314,1611664314,1611664318,1611664328,34,5,14
mDiffFit,ID0000197,13865.000.000,192.168.1.165,1611665479,1611665608,1611665618,1611665637,1611665637,1611665638,1611665648,129,29,11
mBackground,ID0000305,13946.000.000,192.168.1.165,1611666010,1611666024,1611666063,1611666069,1611666069,1611666071,1611666084,14,45,15
mDiffFit,ID0000221,13794.000.000,192.168.1.164,1611664906,1611664946,1611664950,1611664956,1611664956,1611664957,1611664962,40,10,6
mDiffFit,ID0000433,13989.000.000,192.168.1.165,1611666254,1611666302,1611666330,1611666341,1611666341,1611666341,1611666353,48,39,12
mDiffFit,ID0000025,13739.000.000,192.168.1.166,1611664300,1611664349,1611664355,1611664366,1611664366,1611664367,1611664381,49,17,15
mDiffFit,ID0000188,13650.000.000,192.168.1.167,1611663589,1611663643,1611663650,1611663661,1611663661,1611663662,1611663671,54,18,10
mDiffFit,ID0000374,13729.000.000,192.168.1.164,1611664196,1611664270,1611664284,1611664288,1611664288,1611664293,1611664302,74,18,14
mDiffFit,ID0000415,13840.000.000,192.168.1.164,1611665364,1611665461,1611665468,1611665472,1611665472,1611665475,1611665484,97,11,12
stage_out_local_local,0_6,14130.000.000,192.168.1.4,1611667135,1611667141,1611667160,1611667163,1611667163,1611667164,1611667169,6,22,6
mConcatFit,ID0000294,13913.000.000,192.168.1.163,1611665812,1611665833,1611665856,1611665857,1611665857,1611665859,1611665869,21,24,12
register_local,0_4,14125.000.000,192.168.1.4,1611667086,1611667088,1611667094,1611667098,1611667098,1611667098,1611667104,2,10,6
mDiffFit,ID0000187,13766.000.000,192.168.1.166,1611664693,1611664730,1611664738,1611664743,1611664743,1611664745,1611664763,37,13,20
mDiffFit,ID0000289,13767.000.000,192.168.1.163,1611664698,1611664742,1611664747,1611664763,1611664763,1611664766,1611664778,44,21,15
mDiffFit,ID0000100,14065.000.000,192.168.1.165,1611666681,1611666715,1611666719,1611666733,1611666733,1611666734,1611666741,34,18,8
mDiffFit,ID0000413,13918.000.000,192.168.1.165,1611665839,1611665882,1611665888,1611665895,1611665895,1611665898,1611665914,43,13,19
mProject,ID0000317,13625.000.000,192.168.1.165,1611662496,1611663566,1611665114,1611665118,1611665118,1611665119,1611665123,1070,1552,5
mViewer,ID0000314,14019.000.000,192.168.1.165,1611666444,1611666457,1611666488,1611666489,1611666489,1611666489,1611666503,13,32,14
mBackground,ID0000150,14101.000.000,192.168.1.164,1611666867,1611666898,1611666951,1611666953,1611666953,1611666955,1611666960,31,55,7
register_local,24_1,14059.000.000,192.168.1.4,1611666630,1611666635,1611666644,1611666652,1611666652,1611666653,1611666668,5,17,16
mDiffFit,ID0000251,13854.000.000,192.168.1.163,1611665413,1611665596,1611665694,1611665703,1611665703,1611665706,1611665716,183,107,13
mDiffFit,ID0000117,13756.000.000,192.168.1.166,1611664401,1611664418,1611664422,1611664429,1611664429,1611664430,1611664435,17,11,6
mDiffFit,ID0000133,14072.000.000,192.168.1.166,1611666739,1611666753,1611666754,1611666758,1611666758,1611666758,1611666763,14,5,5
mDiffFit,ID0000212,13673.000.000,192.168.1.165,1611663668,1611663756,1611663758,1611663763,1611663763,1611663764,1611663769,88,7,6
mDiffFit,ID0000232,13785.000.000,192.168.1.161,1611664890,1611664900,1611664907,1611664912,1611664912,1611664913,1611664918,10,12,6
mBackground,ID0000146,14094.000.000,192.168.1.166,1611666854,1611666890,1611666966,1611666974,1611666974,1611666974,1611666982,36,84,8
mDiffFit,ID0000194,13872.000.000,192.168.1.167,1611665526,1611665638,1611665651,1611665664,1611665664,1611665665,1611665675,112,26,11
mDiffFit,ID0000093,13830.000.000,192.168.1.165,1611665350,1611665418,1611665424,1611665430,1611665430,1611665431,1611665443,68,12,13
mProject,ID0000171,13608.000.000,192.168.1.163,1611662460,1611662470,1611663574,1611663575,1611663575,1611663576,1611663582,10,1105,7
mProject,ID0000016,13641.000.000,192.168.1.165,1611662590,1611664296,1611666058,1611666069,1611666069,1611666070,1611666084,1706,1773,15
mDiffFit,ID0000136,14058.000.000,192.168.1.167,1611666621,1611666686,1611666705,1611666718,1611666718,1611666721,1611666733,65,32,15
clean_up_local_level,3_7,14111.000.000,192.168.1.4,1611666987,1611666993,1611667004,1611667012,1611667012,1611667013,1611667020,6,19,8
mAdd,ID0000156,14122.000.000,192.168.1.161,1611667045,1611667094,1611667118,1611667122,1611667122,1611667123,1611667129,49,28,7
mDiffFit,ID0000263,13685.000.000,192.168.1.161,1611663705,1611663818,1611663821,1611663821,1611663821,1611663821,1611663826,113,3,5
mProject,ID0000323,13604.000.000,192.168.1.166,1611662454,1611662470,1611663976,1611663982,1611663982,1611663982,1611663987,16,1512,5
mDiffFit,ID0000044,14009.000.000,192.168.1.163,1611666389,1611666420,1611666425,1611666436,1611666436,1611666438,1611666449,31,16,13
mDiffFit,ID0000252,13853.000.000,192.168.1.166,1611665405,1611665522,1611665567,1611665573,1611665573,1611665575,1611665585,117,51,12
mProject,ID0000328,13595.000.000,192.168.1.165,1611662444,1611662447,1611663974,1611663976,1611663976,1611663977,1611663982,3,1529,6
mProject,ID0000169,13639.000.000,192.168.1.161,1611662590,1611664298,1611665484,1611665497,1611665497,1611665498,1611665511,1708,1199,14
mImgtbl,ID0000469,14074.000.000,192.168.1.163,1611666748,1611666785,1611666787,1611666788,1611666788,1611666788,1611666795,37,3,7
mDiffFit,ID0000134,13895.000.000,192.168.1.162,1611665687,1611665758,1611665778,1611665788,1611665788,1611665789,1611665804,71,30,16
mDiffFit,ID0000181,13648.000.000,192.168.1.165,1611663582,1611663628,1611663632,1611663635,1611663635,1611663636,1611663647,46,7,12
mBackground,ID0000153,14090.000.000,192.168.1.161,1611666842,1611666889,1611666961,1611666967,1611666967,1611666969,1611666974,47,78,7
clean_up_local_level,0_8,14121.000.000,192.168.1.4,1611667044,1611667045,1611667053,1611667055,1611667055,1611667055,1611667060,1,10,5
mDiffFit,ID0000402,13802.000.000,192.168.1.166,1611665064,1611665108,1611665113,1611665118,1611665118,1611665119,1611665123,44,10,5
mDiffFit,ID0000126,14056.000.000,192.168.1.161,1611666607,1611666665,1611666698,1611666702,1611666702,1611666705,1611666718,58,37,16
mProject,ID0000324,13642.000.000,192.168.1.164,1611662590,1611664292,1611665889,1611665895,1611665895,1611665898,1611665914,1702,1603,19
mDiffFit,ID0000362,13813.000.000,192.168.1.166,1611665143,1611665171,1611665182,1611665188,1611665188,1611665188,1611665193,28,17,5
mDiffFit,ID0000204,13779.000.000,192.168.1.163,1611664740,1611664801,1611664804,1611664808,1611664808,1611664808,1611664813,61,7,5
mDiffFit,ID0000292,13656.000.000,192.168.1.165,1611663596,1611663667,1611663668,1611663671,1611663671,1611663673,1611663683,71,4,12
mProject,ID0000165,13620.000.000,192.168.1.162,1611662490,1611662508,1611663631,1611663635,1611663635,1611663636,1611663647,18,1127,12
mProject,ID0000160,13618.000.000,192.168.1.167,1611662484,1611662488,1611663613,1611663622,1611663622,1611663623,1611663635,4,1134,13
mProject,ID0000162,13628.000.000,192.168.1.163,1611662496,1611663580,1611664685,1611664687,1611664687,1611664687,1611664693,1084,1107,6
mDiffFit,ID0000428,13903.000.000,192.168.1.164,1611665741,1611665800,1611665814,1611665817,1611665817,1611665820,1611665833,59,17,16
