1611667969 INTERNAL *** MONITORD_STARTED ***
1611667965 INTERNAL *** DAGMAN_STARTED 14148.0 ***
1611667970 create_dir_montage_0_local SUBMIT 14149.0 local - 1
1611667971 create_dir_montage_0_local EXECUTE 14149.0 local - 1
1611667973 create_dir_montage_0_local JOB_TERMINATED 14149.0 local - 1
1611667975 create_dir_montage_0_local JOB_SUCCESS 0 local - 1
1611667975 create_dir_montage_0_local POST_SCRIPT_STARTED 14149.0 local - 1
1611667975 create_dir_montage_0_local POST_SCRIPT_TERMINATED 14149.0 local - 1
1611667980 create_dir_montage_0_local POST_SCRIPT_SUCCESS 0 local - 1
1611667985 stage_in_remote_local_2_0 SUBMIT 14150.0 local - 2
1611667985 stage_in_remote_local_2_0 EXECUTE 14150.0 local - 2
1611667985 stage_in_remote_local_1_0 SUBMIT 14151.0 local - 3
1611667986 stage_in_remote_local_0_0 SUBMIT 14152.0 local - 4
1611667986 stage_in_local_local_0_0 SUBMIT 14153.0 local - 5
1611667986 stage_in_remote_local_7_0 SUBMIT 14154.0 local - 6
1611667990 stage_in_remote_local_2_0 JOB_TERMINATED 14150.0 local - 2
1611667992 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1611667992 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 14150.0 local - 2
1611667990 stage_in_remote_local_7_0 EXECUTE 14154.0 local - 6
1611667990 stage_in_remote_local_0_0 EXECUTE 14152.0 local - 4
1611667990 stage_in_local_local_0_0 EXECUTE 14153.0 local - 5
1611667990 stage_in_remote_local_1_0 EXECUTE 14151.0 local - 3
1611667991 stage_in_remote_local_6_0 SUBMIT 14155.0 local - 7
1611667991 stage_in_remote_local_5_0 SUBMIT 14156.0 local - 8
1611667991 stage_in_remote_local_4_0 SUBMIT 14157.0 local - 9
1611667992 stage_in_remote_local_3_0 SUBMIT 14158.0 local - 10
1611667992 stage_in_remote_local_1_1 SUBMIT 14159.0 local - 11
1611667992 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 14150.0 local - 2
1611667997 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1611667993 stage_in_remote_local_7_0 JOB_TERMINATED 14154.0 local - 6
1611667997 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 6
1611667997 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 14154.0 local - 6
1611667993 stage_in_remote_local_0_0 JOB_TERMINATED 14152.0 local - 4
1611667997 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1611667997 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 14152.0 local - 4
1611667993 stage_in_remote_local_1_0 JOB_TERMINATED 14151.0 local - 3
1611667997 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1611667997 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 14151.0 local - 3
1611667993 stage_in_remote_local_1_1 EXECUTE 14159.0 local - 11
1611667994 stage_in_remote_local_3_0 EXECUTE 14158.0 local - 10
1611667994 stage_in_remote_local_4_0 EXECUTE 14157.0 local - 9
1611667994 stage_in_remote_local_5_0 EXECUTE 14156.0 local - 8
1611667994 stage_in_remote_local_6_0 EXECUTE 14155.0 local - 7
1611667996 stage_in_remote_local_1_1 JOB_TERMINATED 14159.0 local - 11
1611667997 stage_in_remote_local_1_1 JOB_SUCCESS 0 local - 11
1611667997 stage_in_remote_local_1_1 POST_SCRIPT_STARTED 14159.0 local - 11
1611667996 stage_in_remote_local_4_0 JOB_TERMINATED 14157.0 local - 9
1611667997 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 9
