NodeIP,NodeID,mProject,mDiffFit,mConcatFit,mBgModel,mBackground,mImgtbl,mAdd,mViewer
192.168.1.161,1, 5, 94, 0, 1, 13, 2, 3, 3
192.168.1.162,2, 5, 16, 0, 0, 0, 0, 0, 0
192.168.1.163,3, 4, 4, 0, 0, 0, 0, 0, 0
192.168.1.164,4, 5, 15, 0, 0, 0, 0, 0, 0
192.168.1.165,5, 5, 114, 3, 2, 20, 0, 0, 1
192.168.1.166,6, 7, 10, 0, 0, 4, 1, 0, 0
192.168.1.167,7, 5, 1, 0, 0, 0, 0, 0, 0
192.168.1.168,8, 7, 43, 0, 0, 11, 0, 0, 0
192.168.1.169,9, 5, 63, 0, 0, 0, 0, 0, 0
192.168.1.4,10, 0, 0, 0, 0, 0, 0, 0, 0

NodeIP, JobType, Count
192.168.1.161,mProject,5
192.168.1.161,mDiffFit,94
192.168.1.161,mConcatFit,0
192.168.1.161,mBgModel,1
192.168.1.161,mBackground,13
192.168.1.161,mImgtbl,2
192.168.1.161,mAdd,3
192.168.1.161,mViewer,3
192.168.1.162,mProject,5
192.168.1.162,mDiffFit,16
192.168.1.162,mConcatFit,0
192.168.1.162,mBgModel,0
192.168.1.162,mBackground,0
192.168.1.162,mImgtbl,0
192.168.1.162,mAdd,0
192.168.1.162,mViewer,0
192.168.1.163,mProject,4
192.168.1.163,mDiffFit,4
192.168.1.163,mConcatFit,0
192.168.1.163,mBgModel,0
192.168.1.163,mBackground,0
192.168.1.163,mImgtbl,0
192.168.1.163,mAdd,0
192.168.1.163,mViewer,0
192.168.1.164,mProject,5
192.168.1.164,mDiffFit,15
192.168.1.164,mConcatFit,0
192.168.1.164,mBgModel,0
192.168.1.164,mBackground,0
192.168.1.164,mImgtbl,0
192.168.1.164,mAdd,0
192.168.1.164,mViewer,0
192.168.1.165,mProject,5
192.168.1.165,mDiffFit,114
192.168.1.165,mConcatFit,3
192.168.1.165,mBgModel,2
192.168.1.165,mBackground,20
192.168.1.165,mImgtbl,0
192.168.1.165,mAdd,0
192.168.1.165,mViewer,1
192.168.1.166,mProject,7
192.168.1.166,mDiffFit,10
192.168.1.166,mConcatFit,0
192.168.1.166,mBgModel,0
192.168.1.166,mBackground,4
192.168.1.166,mImgtbl,1
192.168.1.166,mAdd,0
192.168.1.166,mViewer,0
192.168.1.167,mProject,5
192.168.1.167,mDiffFit,1
192.168.1.167,mConcatFit,0
192.168.1.167,mBgModel,0
192.168.1.167,mBackground,0
192.168.1.167,mImgtbl,0
192.168.1.167,mAdd,0
192.168.1.167,mViewer,0
192.168.1.168,mProject,7
192.168.1.168,mDiffFit,43
192.168.1.168,mConcatFit,0
192.168.1.168,mBgModel,0
192.168.1.168,mBackground,11
192.168.1.168,mImgtbl,0
192.168.1.168,mAdd,0
192.168.1.168,mViewer,0
192.168.1.169,mProject,5
192.168.1.169,mDiffFit,63
192.168.1.169,mConcatFit,0
192.168.1.169,mBgModel,0
192.168.1.169,mBackground,0
192.168.1.169,mImgtbl,0
192.168.1.169,mAdd,0
192.168.1.169,mViewer,0
192.168.1.4,mProject,0
192.168.1.4,mDiffFit,0
192.168.1.4,mConcatFit,0
192.168.1.4,mBgModel,0
192.168.1.4,mBackground,0
192.168.1.4,mImgtbl,0
192.168.1.4,mAdd,0
192.168.1.4,mViewer,0
