1645660366 INTERNAL *** MONITORD_STARTED ***
1645660364 INTERNAL *** DAGMAN_STARTED 2495.0 ***
1645660368 create_dir_1000-genome_0_local SUBMIT 2496.0 local - 1
1645660370 create_dir_1000-genome_0_local EXECUTE 2496.0 local - 1
1645660372 create_dir_1000-genome_0_local JOB_TERMINATED 2496.0 local - 1
1645660373 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1645660373 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 2496.0 local - 1
1645660374 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 2496.0 local - 1
1645660378 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1645660383 stage_in_remote_local_2_0 SUBMIT 2497.0 local - 2
1645660383 stage_in_remote_local_2_0 EXECUTE 2497.0 local - 2
1645660383 stage_in_remote_local_1_0 SUBMIT 2498.0 local - 3
1645660383 stage_in_remote_local_0_0 SUBMIT 2499.0 local - 4
1645660383 stage_in_local_local_0_0 SUBMIT 2500.0 local - 5
1645660383 stage_in_local_local_2_0 SUBMIT 2501.0 local - 6
1645660385 stage_in_remote_local_2_0 JOB_TERMINATED 2497.0 local - 2
1645660388 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1645660388 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 2497.0 local - 2
1645660385 stage_in_local_local_2_0 EXECUTE 2501.0 local - 6
1645660385 stage_in_local_local_0_0 EXECUTE 2500.0 local - 5
1645660385 stage_in_remote_local_0_0 EXECUTE 2499.0 local - 4
1645660385 stage_in_remote_local_1_0 EXECUTE 2498.0 local - 3
1645660387 stage_in_local_local_0_0 JOB_TERMINATED 2500.0 local - 5
1645660388 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1645660388 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2500.0 local - 5
1645660387 stage_in_remote_local_1_0 JOB_TERMINATED 2498.0 local - 3
1645660388 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1645660388 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2498.0 local - 3
1645660387 stage_in_remote_local_0_0 JOB_TERMINATED 2499.0 local - 4
1645660388 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1645660388 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 2499.0 local - 4
1645660388 stage_in_remote_local_0_1 SUBMIT 2502.0 local - 7
1645660388 stage_in_local_local_0_1 SUBMIT 2503.0 local - 8
1645660388 stage_in_local_local_2_1 SUBMIT 2504.0 local - 9
1645660388 stage_in_remote_local_2_1 SUBMIT 2505.0 local - 10
1645660388 stage_in_local_local_0_2 SUBMIT 2506.0 local - 11
1645660388 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2500.0 local - 5
1645660393 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1645660388 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 2497.0 local - 2
1645660393 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1645660388 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 2498.0 local - 3
1645660393 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1645660388 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 2499.0 local - 4
1645660393 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
