1644473055 INTERNAL *** MONITORD_STARTED ***
1644473053 INTERNAL *** DAGMAN_STARTED 1616.0 ***
1644473057 create_dir_1000-genome_0_local SUBMIT 1617.0 local - 1
1644473059 create_dir_1000-genome_0_local EXECUTE 1617.0 local - 1
1644473061 create_dir_1000-genome_0_local JOB_TERMINATED 1617.0 local - 1
1644473062 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1644473062 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 1617.0 local - 1
1644473062 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 1617.0 local - 1
1644473067 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1644473072 stage_in_remote_local_2_0 SUBMIT 1618.0 local - 2
1644473073 stage_in_remote_local_2_0 EXECUTE 1618.0 local - 2
1644473073 stage_in_remote_local_1_0 SUBMIT 1619.0 local - 3
1644473073 stage_in_remote_local_0_0 SUBMIT 1620.0 local - 4
1644473073 stage_in_local_local_0_0 SUBMIT 1621.0 local - 5
1644473073 stage_in_local_local_2_0 SUBMIT 1622.0 local - 6
1644473075 stage_in_remote_local_2_0 JOB_TERMINATED 1618.0 local - 2
1644473078 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1644473078 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 1618.0 local - 2
1644473075 stage_in_local_local_2_0 EXECUTE 1622.0 local - 6
1644473075 stage_in_local_local_0_0 EXECUTE 1621.0 local - 5
1644473075 stage_in_remote_local_0_0 EXECUTE 1620.0 local - 4
1644473075 stage_in_remote_local_1_0 EXECUTE 1619.0 local - 3
1644473077 stage_in_local_local_0_0 JOB_TERMINATED 1621.0 local - 5
1644473078 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1644473078 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1621.0 local - 5
1644473077 stage_in_remote_local_0_0 JOB_TERMINATED 1620.0 local - 4
1644473078 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1644473078 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 1620.0 local - 4
1644473077 stage_in_remote_local_1_0 JOB_TERMINATED 1619.0 local - 3
1644473078 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1644473078 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 1619.0 local - 3
1644473078 stage_in_remote_local_0_1 SUBMIT 1623.0 local - 7
1644473078 stage_in_local_local_0_1 SUBMIT 1624.0 local - 8
1644473078 stage_in_remote_local_2_1 SUBMIT 1625.0 local - 9
1644473078 stage_in_local_local_2_1 SUBMIT 1626.0 local - 10
1644473078 stage_in_local_local_0_2 SUBMIT 1627.0 local - 11
1644473078 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 1618.0 local - 2
1644473083 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
