timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644473055, ,3.2999999523,3.7999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,2.9000000954,3.2999999523
1644473056, ,3.2999999523,3.7999999523,3.4000000954,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954
1644473057, ,3.2999999523,3.5,3.0999999046,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.2999999523,3.4000000954
1644473058, ,3.2999999523,3.5,3.0999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.4000000954
1644473059, ,3.2999999523,3.5,3.0999999046,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.2999999523
1644473060, ,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.2999999523
1644473061, ,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.5,3.5,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5999999046
1644473062, ,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5999999046
1644473063, ,3.5,3.5,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5999999046
1644473064, ,3.2999999523,3.2999999523,3.2000000477,3.2000000477,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.5,3.2999999523,3.2999999523,3.2999999523
1644473065, ,3.2999999523,3.2999999523,3.2000000477,3.2000000477,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.2999999523
1644473066, ,3.2999999523,3.2999999523,3.2000000477,3.2000000477,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.2999999523
1644473067, ,3.4000000954,3.5,3.0999999046,3.2000000477,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,3.2999999523,3.2999999523,3.2999999523
