1644967232 INTERNAL *** MONITORD_STARTED ***
1644967230 INTERNAL *** DAGMAN_STARTED 1659.0 ***
1644967234 create_dir_1000-genome_0_local SUBMIT 1660.0 local - 1
1644967236 create_dir_1000-genome_0_local EXECUTE 1660.0 local - 1
1644967238 create_dir_1000-genome_0_local JOB_TERMINATED 1660.0 local - 1
1644967239 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1644967239 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 1660.0 local - 1
1644967239 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 1660.0 local - 1
1644967244 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1644967249 stage_in_remote_local_2_0 SUBMIT 1661.0 local - 2
1644967250 stage_in_remote_local_2_0 EXECUTE 1661.0 local - 2
1644967250 stage_in_remote_local_1_0 SUBMIT 1662.0 local - 3
1644967250 stage_in_remote_local_0_0 SUBMIT 1663.0 local - 4
1644967250 stage_in_local_local_0_0 SUBMIT 1664.0 local - 5
1644967250 stage_in_local_local_2_0 SUBMIT 1665.0 local - 6
1644967252 stage_in_remote_local_2_0 JOB_TERMINATED 1661.0 local - 2
1644967255 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1644967255 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 1661.0 local - 2
1644967252 stage_in_local_local_2_0 EXECUTE 1665.0 local - 6
1644967252 stage_in_local_local_0_0 EXECUTE 1664.0 local - 5
1644967252 stage_in_remote_local_0_0 EXECUTE 1663.0 local - 4
1644967252 stage_in_remote_local_1_0 EXECUTE 1662.0 local - 3
1644967254 stage_in_remote_local_0_0 JOB_TERMINATED 1663.0 local - 4
1644967255 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1644967255 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 1663.0 local - 4
1644967254 stage_in_remote_local_1_0 JOB_TERMINATED 1662.0 local - 3
1644967255 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1644967255 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 1662.0 local - 3
1644967254 stage_in_local_local_0_0 JOB_TERMINATED 1664.0 local - 5
1644967255 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1644967255 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1664.0 local - 5
1644967255 stage_in_remote_local_0_1 SUBMIT 1666.0 local - 7
1644967255 stage_in_local_local_0_1 SUBMIT 1667.0 local - 8
1644967255 stage_in_remote_local_2_1 SUBMIT 1668.0 local - 9
1644967255 stage_in_local_local_2_1 SUBMIT 1669.0 local - 10
1644967255 stage_in_local_local_0_2 SUBMIT 1670.0 local - 11
1644967255 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 1661.0 local - 2
1644967260 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1644967255 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 1662.0 local - 3
1644967260 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1644967255 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 1663.0 local - 4
1644967260 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1644967255 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1664.0 local - 5
1644967260 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1644967256 stage_in_local_local_2_0 JOB_TERMINATED 1665.0 local - 6
1644967260 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1644967260 stage_in_local_local_2_0 POST_SCRIPT_STARTED 1665.0 local - 6
1644967256 stage_in_local_local_0_2 EXECUTE 1670.0 local - 11
1644967256 stage_in_local_local_2_1 EXECUTE 1669.0 local - 10
1644967256 stage_in_remote_local_2_1 EXECUTE 1668.0 local - 9
1644967256 stage_in_local_local_0_1 EXECUTE 1667.0 local - 8
1644967256 stage_in_remote_local_0_1 EXECUTE 1666.0 local - 7
1644967258 stage_in_local_local_0_2 JOB_TERMINATED 1670.0 local - 11
1644967260 stage_in_local_local_0_2 JOB_SUCCESS 0 local - 11
1644967260 stage_in_local_local_0_2 POST_SCRIPT_STARTED 1670.0 local - 11
1644967258 stage_in_remote_local_2_1 JOB_TERMINATED 1668.0 local - 9
