1644489182 INTERNAL *** MONITORD_STARTED ***
1644489180 INTERNAL *** DAGMAN_STARTED 1722.0 ***
1644489184 create_dir_1000-genome_0_local SUBMIT 1723.0 local - 1
1644489185 create_dir_1000-genome_0_local EXECUTE 1723.0 local - 1
1644489187 create_dir_1000-genome_0_local JOB_TERMINATED 1723.0 local - 1
1644489189 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1644489189 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 1723.0 local - 1
1644489189 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 1723.0 local - 1
1644489194 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1644489199 stage_in_remote_local_2_0 SUBMIT 1724.0 local - 2
1644489199 stage_in_remote_local_1_0 SUBMIT 1725.0 local - 3
1644489199 stage_in_remote_local_2_0 EXECUTE 1724.0 local - 2
1644489199 stage_in_remote_local_0_0 SUBMIT 1726.0 local - 4
1644489199 stage_in_local_local_0_0 SUBMIT 1727.0 local - 5
1644489199 stage_in_local_local_2_0 SUBMIT 1728.0 local - 6
1644489202 stage_in_remote_local_2_0 JOB_TERMINATED 1724.0 local - 2
1644489205 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1644489205 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 1724.0 local - 2
1644489202 stage_in_local_local_2_0 EXECUTE 1728.0 local - 6
1644489202 stage_in_local_local_0_0 EXECUTE 1727.0 local - 5
1644489202 stage_in_remote_local_0_0 EXECUTE 1726.0 local - 4
1644489202 stage_in_remote_local_1_0 EXECUTE 1725.0 local - 3
1644489204 stage_in_remote_local_1_0 JOB_TERMINATED 1725.0 local - 3
1644489205 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1644489205 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 1725.0 local - 3
1644489204 stage_in_local_local_0_0 JOB_TERMINATED 1727.0 local - 5
1644489205 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1644489205 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1727.0 local - 5
1644489204 stage_in_remote_local_0_0 JOB_TERMINATED 1726.0 local - 4
1644489205 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1644489205 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 1726.0 local - 4
1644489204 stage_in_remote_local_0_1 SUBMIT 1729.0 local - 7
1644489205 stage_in_remote_local_0_1 EXECUTE 1729.0 local - 7
1644489205 stage_in_local_local_0_1 SUBMIT 1730.0 local - 8
1644489205 stage_in_remote_local_2_1 SUBMIT 1731.0 local - 9
1644489205 stage_in_local_local_2_1 SUBMIT 1732.0 local - 10
1644489205 stage_in_local_local_0_2 SUBMIT 1733.0 local - 11
1644489205 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 1724.0 local - 2
1644489210 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1644489205 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1727.0 local - 5
1644489210 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1644489205 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 1725.0 local - 3
1644489210 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1644489205 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 1726.0 local - 4
