1646138680 INTERNAL *** MONITORD_STARTED ***
1646138678 INTERNAL *** DAGMAN_STARTED 3577.0 ***
1646138683 create_dir_1000-genome_0_local SUBMIT 3578.0 local - 1
1646138684 create_dir_1000-genome_0_local EXECUTE 3578.0 local - 1
1646138687 create_dir_1000-genome_0_local JOB_TERMINATED 3578.0 local - 1
1646138688 create_dir_1000-genome_0_local JOB_SUCCESS 0 local - 1
1646138688 create_dir_1000-genome_0_local POST_SCRIPT_STARTED 3578.0 local - 1
1646138688 create_dir_1000-genome_0_local POST_SCRIPT_TERMINATED 3578.0 local - 1
1646138693 create_dir_1000-genome_0_local POST_SCRIPT_SUCCESS 0 local - 1
1646138698 stage_in_remote_local_2_0 SUBMIT 3579.0 local - 2
1646138698 stage_in_remote_local_2_0 EXECUTE 3579.0 local - 2
1646138698 stage_in_remote_local_1_0 SUBMIT 3580.0 local - 3
1646138698 stage_in_remote_local_0_0 SUBMIT 3581.0 local - 4
1646138698 stage_in_local_local_0_0 SUBMIT 3582.0 local - 5
1646138698 stage_in_local_local_2_0 SUBMIT 3583.0 local - 6
1646138700 stage_in_remote_local_2_0 JOB_TERMINATED 3579.0 local - 2
1646138703 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1646138703 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3579.0 local - 2
1646138700 stage_in_local_local_2_0 EXECUTE 3583.0 local - 6
1646138700 stage_in_local_local_0_0 EXECUTE 3582.0 local - 5
1646138700 stage_in_remote_local_0_0 EXECUTE 3581.0 local - 4
1646138700 stage_in_remote_local_1_0 EXECUTE 3580.0 local - 3
1646138702 stage_in_remote_local_1_0 JOB_TERMINATED 3580.0 local - 3
1646138703 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1646138703 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3580.0 local - 3
1646138703 stage_in_local_local_2_1 SUBMIT 3584.0 local - 7
1646138703 stage_in_remote_local_2_1 SUBMIT 3585.0 local - 8
1646138703 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3579.0 local - 2
1646138708 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1646138703 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3580.0 local - 3
1646138708 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1646138704 stage_in_local_local_2_0 JOB_TERMINATED 3583.0 local - 6
1646138708 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1646138708 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3583.0 local - 6
1646138704 stage_in_local_local_0_0 JOB_TERMINATED 3582.0 local - 5
1646138708 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1646138708 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3582.0 local - 5
1646138704 stage_in_remote_local_0_0 JOB_TERMINATED 3581.0 local - 4
1646138708 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1646138708 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 3581.0 local - 4
1646138704 stage_in_remote_local_2_1 EXECUTE 3585.0 local - 8
1646138704 stage_in_local_local_2_1 EXECUTE 3584.0 local - 7
1646138707 stage_in_remote_local_2_1 JOB_TERMINATED 3585.0 local - 8
1646138708 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 8
1646138708 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3585.0 local - 8
1646138708 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3585.0 local - 8
1646138713 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1646138708 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 3583.0 local - 6
1646138713 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1646138708 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3582.0 local - 5
1646138713 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1646138708 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 3581.0 local - 4
1646138713 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1646138709 stage_in_local_local_2_1 JOB_TERMINATED 3584.0 local - 7
1646138713 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 7
1646138713 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3584.0 local - 7
1646138714 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3584.0 local - 7
1646138718 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 7
1646138718 individuals_ID0000001 SUBMIT 3586.0 condorpool - 9
1646138718 individuals_ID0000002 SUBMIT 3587.0 condorpool - 10
1646138718 sifting_ID0000004 SUBMIT 3588.0 condorpool - 11
1646138740 sifting_ID0000004 EXECUTE 3588.0 condorpool - 11
1646138746 sifting_ID0000004 JOB_TERMINATED 3588.0 condorpool - 11
1646138748 sifting_ID0000004 JOB_SUCCESS 0 condorpool - 11
1646138748 sifting_ID0000004 POST_SCRIPT_STARTED 3588.0 condorpool - 11
1646138747 individuals_ID0000001 EXECUTE 3586.0 condorpool - 9
1646138747 individuals_ID0000002 EXECUTE 3587.0 condorpool - 10
1646138748 sifting_ID0000004 POST_SCRIPT_TERMINATED 3588.0 condorpool - 11
1646138753 sifting_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 11
1646157615 individuals_ID0000001 JOB_TERMINATED 3586.0 condorpool - 9
1646157620 individuals_ID0000001 JOB_SUCCESS 0 condorpool - 9
1646157620 individuals_ID0000001 POST_SCRIPT_STARTED 3586.0 condorpool - 9
1646157620 individuals_ID0000001 POST_SCRIPT_TERMINATED 3586.0 condorpool - 9
1646157625 individuals_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1646158072 individuals_ID0000002 JOB_TERMINATED 3587.0 condorpool - 10
